"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Fatty Acid Biosynthesis WP357","3/22","6.4451106452766731E-8","1.7401798742247017E-6","0","0","630.72631578947369","10443.162003489322","FASN;ACACB;ACACA","Gluconeogenesis","wikipathways"
"2","Mitochondrial fatty acid synthesis pathway WP4317","2/5","1.3991087462114677E-6","1.8887968073854814E-5","0","0","2221","29938.358472423224","MCAT;ACACA","Gluconeogenesis","wikipathways"
"3","AMP-activated protein kinase (AMPK) signaling WP1403","3/69","2.1736023862629252E-6","1.9562421476366327E-5","0","0","181.14545454545456","2361.978167213847","FASN;ACACB;ACACA","Gluconeogenesis","wikipathways"
"4","Pathways in clear cell renal cell carcinoma WP4018","3/85","4.0852728151288471E-6","2.717734312193606E-5","0","0","145.6829268292683","1807.6515363015085","FASN;ACACB;ACACA","Gluconeogenesis","wikipathways"
"5","Biotin Metabolism (including IEMs) WP5031","2/9","5.0328413188770481E-6","2.717734312193606E-5","0","0","951.66666666666663","11609.882108963659","ACACB;ACACA","Gluconeogenesis","wikipathways"
"6","Hereditary leiomyomatosis and renal cell carcinoma pathway WP4206","2/20","2.6504300251431722E-5","1.1296952328791889E-4","0","0","369.88888888888891","3897.964407357134","ACACB;ACACA","Gluconeogenesis","wikipathways"
"7","FOXA2 pathway WP5066","2/21","2.9288394926497492E-5","1.1296952328791889E-4","0","0","350.40350877192981","3657.623672658719","FASN;ACACA","Gluconeogenesis","wikipathways"
"8","Lipid Metabolism Pathway WP3965","2/29","5.6534016206557991E-5","1.9080230469713323E-4","0","0","246.4814814814815","2410.7535494184467","FASN;ACACA","Gluconeogenesis","wikipathways"
"9","Sterol regulatory element-binding proteins (SREBP) signaling WP1982","2/69","3.240717098843516E-4","9.722151296530548E-4","0","0","99.129353233830841","796.45932271971026","FASN;ACACA","Gluconeogenesis","wikipathways"
"10","Leptin signaling pathway WP2034","2/76","3.9314244610752611E-4","1.0614846044903206E-3","0","0","89.72072072072072","703.53054643324492","ACACB;ACACA","Gluconeogenesis","wikipathways"
"11","7q11.23 copy number variation syndrome WP4932","2/104","7.347039673000961E-4","1.8033642833729631E-3","0","0","65","469.04278885498962","ACACB;ACACA","Gluconeogenesis","wikipathways"
"12","Leptin and adiponectin WP3934","1/10","3.9936462613403625E-3","8.2944960812453682E-3","0","0","317.1904761904762","1751.8590547314027","ACACA","Gluconeogenesis","wikipathways"
"13","Liver X receptor pathway WP2874","1/10","3.9936462613403625E-3","8.2944960812453682E-3","0","0","317.1904761904762","1751.8590547314027","FASN","Gluconeogenesis","wikipathways"
"14","IL-18 signaling pathway WP4754","2/272","4.8882840152581755E-3","9.4274048865693391E-3","0","0","24.348148148148148","129.55440124056366","PPT2;ACACB","Gluconeogenesis","wikipathways"
"15","Omega-9 FA synthesis WP4724","1/14","5.5872022837974E-3","1.005696411083532E-2","0","0","219.54945054945054","1138.8637280375192","FASN","Gluconeogenesis","wikipathways"
"16","SREBF and miR33 in cholesterol and lipid homeostasis WP2011","1/16","6.3831440708516521E-3","1.0771555619562162E-2","0","0","190.25714285714287","961.57757966873419","FASN","Gluconeogenesis","wikipathways"
"17","VEGFA-VEGFR2 Signaling Pathway WP3888","2/432","1.1957001848216733E-2","1.899053234716775E-2","0","0","15.164341085271317","67.124019316910207","ACACB;ACACA","Gluconeogenesis","wikipathways"
"18","Metabolic reprogramming in colon cancer WP4290","1/42","1.6679797556906864E-2","2.4645038852455978E-2","0","0","69.515679442508713","284.56639751252425","FASN","Gluconeogenesis","wikipathways"
"19","Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway WP4577","1/44","1.746796731842876E-2","2.4645038852455978E-2","0","0","66.275747508305642","268.2435666902731","ACACA","Gluconeogenesis","wikipathways"
"20","Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718","1/46","1.8255584335152574E-2","2.4645038852455978E-2","0","0","63.323809523809523","253.50320962011816","FASN","Gluconeogenesis","wikipathways"
"21","Corticotropin-releasing hormone signaling pathway WP2355","1/93","3.6606264956983832E-2","4.7065197801836357E-2","0","0","30.900621118012424","102.2049130477516","ACACA","Gluconeogenesis","wikipathways"
"22","Angiopoietin Like Protein 8 Regulatory Pathway WP3915","1/132","5.1604870488467222E-2","6.1904438831541259E-2","0","0","21.658669574700109","64.199311974858205","FASN","Gluconeogenesis","wikipathways"
"23","Endoderm differentiation WP2853","1/141","5.5036928219595174E-2","6.1904438831541259E-2","0","0","20.257142857142856","58.740668168190489","ACACA","Gluconeogenesis","wikipathways"
"24","Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380","1/144","5.6178529985824038E-2","6.1904438831541259E-2","0","0","19.829170829170828","57.092557604123598","ACACB","Gluconeogenesis","wikipathways"
"25","Mesodermal commitment pathway WP2857","1/147","5.7318924844019681E-2","6.1904438831541259E-2","0","0","19.418786692759294","55.520727497935795","ACACA","Gluconeogenesis","wikipathways"
"26","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932","1/303","0.1149831829216247","0.11940561303399488","0","0","9.3140964995269631","20.146105687099649","ACACA","Gluconeogenesis","wikipathways"
"27","Nuclear Receptors Meta-Pathway WP2882","1/319","0.1207191050086845","0.1207191050086845","0","0","8.8382749326145547","18.686666393634923","FASN","Gluconeogenesis","wikipathways"
