"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Oxidative phosphorylation","2/133","2.3209742239260786E-3","1.8809716293279342E-2","0","0","33.686174724342663","204.33252935417062","UQCR10;SDHA","Gluconeogenesis","kegg"
"2","Non-alcoholic fatty liver disease","2/155","3.1349527155465568E-3","1.8809716293279342E-2","0","0","28.81045751633987","166.0963552659853","UQCR10;SDHA","Gluconeogenesis","kegg"
"3","Diabetic cardiomyopathy","2/203","5.3085063609301002E-3","1.8826375641053893E-2","0","0","21.877280265339966","114.60292441530726","UQCR10;SDHA","Gluconeogenesis","kegg"
"4","Thermogenesis","2/232","6.8777543459550153E-3","1.8826375641053893E-2","0","0","19.090821256038648","95.062039678565696","UQCR10;SDHA","Gluconeogenesis","kegg"
"5","Parkinson disease","2/249","7.8846591208393806E-3","1.8826375641053893E-2","0","0","17.761583445793971","86.016440894203825","UQCR10;SDHA","Gluconeogenesis","kegg"
"6","Prion disease","2/273","9.4131878205269467E-3","1.8826375641053893E-2","0","0","16.168921689216891","75.438426213307352","UQCR10;SDHA","Gluconeogenesis","kegg"
"7","Huntington disease","2/306","1.1714596681928544E-2","2.0070341143561286E-2","0","0","14.389619883040936","63.989483199624374","UQCR10;SDHA","Gluconeogenesis","kegg"
"8","Amyotrophic lateral sclerosis","2/364","1.6298912453850758E-2","2.0070341143561286E-2","0","0","12.048496009821976","49.599524161381915","UQCR10;SDHA","Gluconeogenesis","kegg"
"9","Citrate cycle (TCA cycle)","1/30","1.6380733950540891E-2","2.0070341143561286E-2","0","0","68.827586206896555","282.99490310676202","SDHA","Gluconeogenesis","kegg"
"10","Alzheimer disease","2/369","1.6725284286301073E-2","2.0070341143561286E-2","0","0","11.881320012110203","48.604504014054939","UQCR10;SDHA","Gluconeogenesis","kegg"
"11","Pathways of neurodegeneration","2/475","2.6863684936389024E-2","2.9305838112424386E-2","0","0","9.1688982851773542","33.16372086510065","UQCR10;SDHA","Gluconeogenesis","kegg"
"12","Cardiac muscle contraction","1/87","4.6833951764574382E-2","4.6833951764574382E-2","0","0","23.143023255813954","70.844193295048214","UQCR10","Gluconeogenesis","kegg"
