"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Fatty acid degradation","8/43","2.2843778091728843E-22","4.1118800565111917E-21","0","0","159656","7955782.7485956615","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","kegg"
"2","PPAR signaling pathway","5/74","3.3544869066147825E-11","3.0190382159533043E-10","0","0","481.231884057971","11606.416603835018","CPT1A;CPT2;ACADL;ACSL1;ACSL3","FA-Oxidation","kegg"
"3","Thermogenesis","4/232","1.1907539536763027E-6","7.1445237220578162E-6","0","0","86.684210526315795","1182.4527171226812","CPT1A;CPT2;ACSL1;ACSL3","FA-Oxidation","kegg"
"4","Adipocytokine signaling pathway","3/69","2.1736023862629252E-6","9.7812107381831635E-6","0","0","181.14545454545456","2361.978167213847","CPT1A;ACSL1;ACSL3","FA-Oxidation","kegg"
"5","Fatty acid biosynthesis","2/18","2.1351432280008236E-5","7.6865156208029656E-5","0","0","416.16666666666669","4475.619360309719","ACSL1;ACSL3","FA-Oxidation","kegg"
"6","Butanoate metabolism","2/28","5.2645617296768729E-5","1.5572591716433008E-4","0","0","255.97435897435898","2521.8408431320772","ECHS1;ACADS","FA-Oxidation","kegg"
"7","beta-Alanine metabolism","2/30","6.0560078897239473E-5","1.5572591716433008E-4","0","0","237.66666666666666","2308.1888742091614","ECHS1;ACADS","FA-Oxidation","kegg"
"8","Propanoate metabolism","2/34","7.8039306520185809E-5","1.7558843967041806E-4","0","0","207.91666666666666","1966.537777625364","ECHS1;ACADS","FA-Oxidation","kegg"
"9","Ferroptosis","2/41","1.1390884044388589E-4","2.2781768088777179E-4","0","0","170.53846153846155","1548.5083438136971","ACSL1;ACSL3","FA-Oxidation","kegg"
"10","Valine, leucine and isoleucine degradation","2/48","1.5647515348005239E-4","2.816552762640943E-4","0","0","144.53623188405797","1266.5151113505071","ECHS1;ACADS","FA-Oxidation","kegg"
"11","Peroxisome","2/82","4.5756487514379021E-4","7.4874252296256588E-4","0","0","82.966666666666669","637.97980628651453","ACSL1;ACSL3","FA-Oxidation","kegg"
"12","Fatty acid elongation","1/27","1.0750872860949598E-2","1.6126309291424397E-2","0","0","109.7032967032967","497.25962914000377","ECHS1","FA-Oxidation","kegg"
"13","Tryptophan metabolism","1/42","1.6679797556906864E-2","2.3095104309563349E-2","0","0","69.515679442508713","284.56639751252425","ECHS1","FA-Oxidation","kegg"
"14","Lysine degradation","1/63","2.492805820599394E-2","3.2050360550563636E-2","0","0","45.921658986175117","169.5318022982446","ECHS1","FA-Oxidation","kegg"
"15","Glucagon signaling pathway","1/107","4.2014084646480689E-2","4.7699256497184254E-2","0","0","26.80053908355795","84.951018627794397","CPT1A","FA-Oxidation","kegg"
"16","Insulin resistance","1/108","4.2399339108608228E-2","4.7699256497184254E-2","0","0","26.548731642189587","83.910518679018736","CPT1A","FA-Oxidation","kegg"
"17","AMPK signaling pathway","1/120","4.7011830274227381E-2","4.9777232055064284E-2","0","0","23.857142857142858","72.939778880592712","CPT1A","FA-Oxidation","kegg"
"18","Diabetic cardiomyopathy","1/203","7.8386136829956946E-2","7.8386136829956946E-2","0","0","13.995756718528996","35.634710854017911","CPT2","FA-Oxidation","kegg"
