"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Starch and sucrose metabolism","9/36","1.4632873350373728E-23","8.6333952767204986E-22","0","0","2217.8888888888887","116613.87340036755","GYS2;GYS1;HK3;UGP2;GBE1;PGM2;HK2;PGM1;HK1","Glycogenesis","kegg"
"2","Galactose metabolism","6/31","7.6064229462400323E-15","2.2438947691408096E-13","0","0","798.52","25959.712224621369","HK3;UGP2;PGM2;HK2;PGM1;HK1","Glycogenesis","kegg"
"3","Amino sugar and nucleotide sugar metabolism","6/48","1.2623197516636954E-13","2.4825621782719346E-12","0","0","474.90476190476193","14104.982542436219","HK3;UGP2;PGM2;HK2;PGM1;HK1","Glycogenesis","kegg"
"4","Insulin signaling pathway","6/137","8.2633651364663462E-11","1.2188463576287862E-9","0","0","151.58015267175571","3519.1763965530226","GYS2;GSK3B;GYS1;HK3;HK2;HK1","Glycogenesis","kegg"
"5","Glycolysis / Gluconeogenesis","5/67","2.8176024730614788E-10","3.3247709182125453E-9","0","0","229.56221198156683","5048.0649134714467","HK3;PGM2;HK2;PGM1;HK1","Glycogenesis","kegg"
"6","Neomycin, kanamycin and gentamicin biosynthesis","3/5","1.6488119692692557E-9","1.6213317697814349E-8","0","0","3331","67363.5152647254","HK3;HK2;HK1","Glycogenesis","kegg"
"7","Shigellosis","5/246","1.9952111630469792E-7","1.681677980282454E-6","0","0","58.526970954356848","902.91581720296176","GSK3B;HK3;GSK3A;HK2;HK1","Glycogenesis","kegg"
"8","Fructose and mannose metabolism","3/33","8.9121679720243694E-7","6.5727238793679728E-6","0","0","221.75555555555556","3089.2052657889908","HK3;HK2;HK1","Glycogenesis","kegg"
"9","Type II diabetes mellitus","3/46","2.468761439877347E-6","1.5553564504656339E-5","0","0","154.6124031007752","1996.323494729249","HK3;HK2;HK1","Glycogenesis","kegg"
"10","Carbohydrate digestion and absorption","3/47","2.6361973736705659E-6","1.5553564504656339E-5","0","0","151.09090909090909","1940.9399671718354","HK3;HK2;HK1","Glycogenesis","kegg"
"11","Central carbon metabolism in cancer","3/70","8.8307241576343839E-6","4.7364793209129872E-5","0","0","99.109452736318403","1153.3638114615098","HK3;HK2;HK1","Glycogenesis","kegg"
"12","Insulin resistance","3/108","3.2514692610949381E-5","1.5169182367720852E-4","0","0","63.12063492063492","652.27718427175091","GYS2;GSK3B;GYS1","Glycogenesis","kegg"
"13","HIF-1 signaling pathway","3/109","3.3423622166164591E-5","1.5169182367720852E-4","0","0","62.522012578616355","644.36734567938822","HK3;HK2;HK1","Glycogenesis","kegg"
"14","Pentose phosphate pathway","2/30","1.4221789991262262E-4","5.9934686391748101E-4","0","0","142.57142857142858","1262.9191242496929","PGM2;PGM1","Glycogenesis","kegg"
"15","Diabetic cardiomyopathy","3/203","2.1186114607253252E-4","8.333205078852945E-4","0","0","32.979999999999997","278.99693089539278","GYS2;GSK3B;GYS1","Glycogenesis","kegg"
"16","PI3K-Akt signaling pathway","3/354","1.0742113111589966E-3","3.9611542098988003E-3","0","0","18.648622981956315","127.48512994318227","GYS2;GSK3B;GYS1","Glycogenesis","kegg"
"17","Glucagon signaling pathway","2/107","1.8071154231623758E-3","6.2717535274458922E-3","0","0","37.872380952380951","239.20284407557955","GYS2;GYS1","Glycogenesis","kegg"
"18","AMPK signaling pathway","2/120","2.2653928936461438E-3","7.4254544847290266E-3","0","0","33.677966101694913","205.09905173365922","GYS2;GYS1","Glycogenesis","kegg"
"19","Purine metabolism","2/129","2.6116372501194455E-3","8.0602102911259115E-3","0","0","31.277165354330709","186.02963460254267","PGM2;PGM1","Glycogenesis","kegg"
"20","Dopaminergic synapse","2/132","2.7322746749579357E-3","8.0602102911259115E-3","0","0","30.55076923076923","180.32960599224347","GSK3B;GSK3A","Glycogenesis","kegg"
"21","Non-alcoholic fatty liver disease","2/155","3.742863591746855E-3","1.0515664376812593E-2","0","0","25.928104575163399","144.88376689825418","GSK3B;GSK3A","Glycogenesis","kegg"
"22","Chemokine signaling pathway","2/192","5.6798092691881406E-3","1.5232215767368194E-2","0","0","20.84","107.76025612961541","GSK3B;GSK3A","Glycogenesis","kegg"
"23","Pentose and glucuronate interconversions","1/34","2.0215692219209058E-2","5.1857645257971055E-2","0","0","54.972451790633606","214.46381362673279","UGP2","Glycogenesis","kegg"
"24","Hedgehog signaling pathway","1/56","3.309612573679984E-2","8.0852051497612432E-2","0","0","32.947107438016531","112.2949128878184","GSK3B","Glycogenesis","kegg"
"25","Endometrial cancer","1/58","3.4259343854920521E-2","8.0852051497612432E-2","0","0","31.787878787878789","107.24581633848625","GSK3B","Glycogenesis","kegg"
"26","Basal cell carcinoma","1/63","3.7161779576272667E-2","8.4328653653849506E-2","0","0","29.217008797653961","96.196255749374828","GSK3B","Glycogenesis","kegg"
"27","Prolactin signaling pathway","1/70","4.1211757984317837E-2","9.0055323002768611E-2","0","0","26.243741765480895","83.692123770432559","GSK3B","Glycogenesis","kegg"
"28","B cell receptor signaling pathway","1/81","4.7544470857634545E-2","9.9140222405060277E-2","0","0","22.622727272727271","68.910858281195161","GSK3B","Glycogenesis","kegg"
"29","ErbB signaling pathway","1/85","4.9837753350796807E-2","9.9140222405060277E-2","0","0","21.541125541125542","64.601458156557385","GSK3B","Glycogenesis","kegg"
"30","Colorectal cancer","1/86","5.0410282578844209E-2","9.9140222405060277E-2","0","0","21.286631016042779","63.595089599609956","GSK3B","Glycogenesis","kegg"
"31","IL-17 signaling pathway","1/94","5.4979145063769622E-2","0.10451714865194368","0","0","19.44770283479961","56.41392256593172","GSK3B","Glycogenesis","kegg"
"32","Prostate cancer","1/97","5.6687267065460983E-2","0.10451714865194368","0","0","18.837121212121211","54.066411925168218","GSK3B","Glycogenesis","kegg"
"33","Melanogenesis","1/101","5.8960360820228652E-2","0.10526621213916339","0","0","18.079999999999998","51.182489597636589","GSK3B","Glycogenesis","kegg"
"34","T cell receptor signaling pathway","1/104","6.0661884961551782E-2","0.10526621213916339","0","0","17.550750220653132","49.1849192357055","GSK3B","Glycogenesis","kegg"
"35","Neurotrophin signaling pathway","1/119","6.9127282107932897E-2","0.11168622824329165","0","0","15.308166409861325","40.900447884891058","GSK3B","Glycogenesis","kegg"
"36","Growth hormone synthesis, secretion and action","1/119","6.9127282107932897E-2","0.11168622824329165","0","0","15.308166409861325","40.900447884891058","GSK3B","Glycogenesis","kegg"
"37","Thyroid hormone signaling pathway","1/121","7.0250702466731596E-2","0.11168622824329165","0","0","15.051515151515151","39.97208258305033","GSK3B","Glycogenesis","kegg"
"38","Cell cycle","1/124","7.1933502936357335E-2","0.11168622824329165","0","0","14.682187730968218","38.643711282161568","GSK3B","Glycogenesis","kegg"
"39","Yersinia infection","1/137","7.9193425149914884E-2","0.11576946218640972","0","0","13.270053475935828","33.651024339520887","GSK3B","Glycogenesis","kegg"
"40","Measles","1/139","8.0305704143177725E-2","0.11576946218640972","0","0","13.076416337285902","32.977605605491178","GSK3B","Glycogenesis","kegg"
"41","Signaling pathways regulating pluripotency of stem cells","1/143","8.2526568247849305E-2","0.11576946218640972","0","0","12.70550576184379","31.695599342274981","GSK3B","Glycogenesis","kegg"
"42","Breast cancer","1/147","8.4742515404808719E-2","0.11576946218640972","0","0","12.354919053549191","30.493643355051663","GSK3B","Glycogenesis","kegg"
"43","Gastric cancer","1/149","8.5848648228948846E-2","0.11576946218640972","0","0","12.186732186732186","29.920492407790988","GSK3B","Glycogenesis","kegg"
"44","mTOR signaling pathway","1/154","8.8608621324746548E-2","0.11576946218640972","0","0","11.785502079619727","28.562472126761907","GSK3B","Glycogenesis","kegg"
"45","Cushing syndrome","1/155","8.9159698490051134E-2","0.11576946218640972","0","0","11.708382526564344","28.302979280758233","GSK3B","Glycogenesis","kegg"
"46","Hepatitis C","1/157","9.0260936619912677E-2","0.11576946218640972","0","0","11.557109557109557","27.795432208182255","GSK3B","Glycogenesis","kegg"
"47","Hippo signaling pathway","1/163","9.3557332354280029E-2","0.1159481981182133","0","0","11.125701459034792","26.358798843411972","GSK3B","Glycogenesis","kegg"
