"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Ketone body biosynthesis and degradation","4/9","2.8335880166734179E-13","7.6506876450182291E-12","0","0","7995.6","231009.37452439216","BDH2;HMGCS1;BDH1;HMGCS2","Gluconeogenesis","bioplanet"
"2","Butanoate metabolism","4/30","6.1535270461820595E-11","8.3072615123457802E-10","0","0","1536","36113.52668476737","BDH2;HMGCS1;BDH1;HMGCS2","Gluconeogenesis","bioplanet"
"3","Valine, leucine and isoleucine degradation","4/44","3.0448453159159981E-10","2.7403607843243981E-9","0","0","997.7","21862.002307531991","ACAA2;HMGCS1;HMGCS2;ACAA1","Gluconeogenesis","bioplanet"
"4","Metabolism","6/1615","2.7484977971000683E-7","1.8552360130425462E-6","0","0","110310","1666457.7086091747","BDH2;ACAA2;HMGCS1;BDH1;HMGCS2;ACAA1","Gluconeogenesis","bioplanet"
"5","Ketone body metabolism","2/5","7.4966635810394549E-7","4.0481983337613058E-6","0","0","3331.8333333333335","46990.969827806068","BDH1;HMGCS2","Gluconeogenesis","bioplanet"
"6","Lipid and lipoprotein metabolism","4/489","5.0927395565633492E-6","2.291732800453507E-5","0","0","80.44948453608248","980.49375218706791","HMGCS1;BDH1;HMGCS2;ACAA1","Gluconeogenesis","bioplanet"
"7","Terpenoid backbone biosynthesis","2/15","7.861232298160098E-6","3.0321896007188949E-5","0","0","768.5","9032.6163800399045","HMGCS1;HMGCS2","Gluconeogenesis","bioplanet"
"8","Fatty acid, triacylglycerol, and ketone body metabolism","3/173","1.2480118748135471E-5","4.2120400774957217E-5","0","0","116.61176470588235","1316.7070107775719","HMGCS1;BDH1;HMGCS2","Gluconeogenesis","bioplanet"
"9","Fatty acid metabolism","2/42","6.4231664405344546E-5","1.9269499321603365E-4","0","0","249.42500000000001","2407.7030802596514","ACAA2;ACAA1","Gluconeogenesis","bioplanet"
"10","HNF3B pathway","2/45","7.3825750705583897E-5","1.9932952690507652E-4","0","0","231.98837209302326","2207.0916614912107","HMGCS1;BDH1","Gluconeogenesis","bioplanet"
"11","PPAR signaling pathway","2/69","1.7438628883467062E-4","4.2803907259419152E-4","0","0","148.70895522388059","1286.9626419636907","HMGCS2;ACAA1","Gluconeogenesis","bioplanet"
"12","Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha)","2/112","4.5941337405240465E-4","1.0336800916179105E-3","0","0","90.381818181818176","694.63490065711869","HMGCS1;HMGCS2","Gluconeogenesis","bioplanet"
"13","Beta-oxidation of very long chain fatty acids","1/6","1.7988408901478401E-3","3.7360541564608989E-3","0","0","799.56","5053.7091475187217","ACAA1","Gluconeogenesis","bioplanet"
"14","Fatty acid elongation in mitochondria","1/8","2.3978589692277472E-3","4.3161461446099454E-3","0","0","571.05714285714282","3445.2899826083253","ACAA2","Gluconeogenesis","bioplanet"
"15","SREBP control of lipid biosynthesis","1/8","2.3978589692277472E-3","4.3161461446099454E-3","0","0","571.05714285714282","3445.2899826083253","HMGCS1","Gluconeogenesis","bioplanet"
"16","Alpha-linolenic (omega3) and linoleic (omega6) acid metabolism","1/11","3.2958256764104633E-3","5.5617058289426568E-3","0","0","399.68","2284.2105915703851","ACAA1","Gluconeogenesis","bioplanet"
"17","SREBF and miR-33 in cholesterol and lipid homeostasis","1/16","4.7909422750142686E-3","7.6091436132579553E-3","0","0","266.38666666666666","1422.7786907214238","HMGCS1","Gluconeogenesis","bioplanet"
"18","Peroxisomal lipid metabolism","1/20","5.9856908667451705E-3","8.9301666304507817E-3","0","0","210.26315789473685","1076.2074808846232","ACAA1","Gluconeogenesis","bioplanet"
"19","Biosynthesis of unsaturated fatty acids","1/21","6.2841913325394393E-3","8.9301666304507817E-3","0","0","199.74","1012.6254955871668","ACAA1","Gluconeogenesis","bioplanet"
"20","Cholesterol biosynthesis","1/24","7.1792448741713026E-3","9.6138601844645254E-3","0","0","173.66086956521738","857.28748845676546","HMGCS1","Gluconeogenesis","bioplanet"
"21","Fatty acid biosynthesis","1/25","7.4774468101390743E-3","9.6138601844645254E-3","0","0","166.41666666666666","814.7533474976135","ACAA2","Gluconeogenesis","bioplanet"
"22","Endochondral ossification","1/66","1.9639651901829803E-2","2.4103209152245668E-2","0","0","61.32","241.0001522133395","HMGCS1","Gluconeogenesis","bioplanet"
"23","Myc repressed pathway","1/73","2.1703662747464179E-2","2.5478212790501432E-2","0","0","55.338888888888889","211.96312071821211","HMGCS2","Gluconeogenesis","bioplanet"
"24","Peroxisome","1/78","2.3175738337888063E-2","2.6072705630124069E-2","0","0","51.732467532467531","194.75459813850165","ACAA1","Gluconeogenesis","bioplanet"
"25","Oncostatin M","1/311","8.9757774410979985E-2","9.6938396363858384E-2","0","0","12.699354838709677","30.61358077948114","HMGCS1","Gluconeogenesis","bioplanet"
"26","TGF-beta regulation of extracellular matrix","1/565","0.1579885090436732","0.16406499016073758","0","0","6.8900709219858154","12.71378607340954","HMGCS1","Gluconeogenesis","bioplanet"
"27","Interleukin-2 signaling pathway","1/847","0.22869399361533069","0.22869399361533069","0","0","4.5267139479905438","6.6785799558017329","ACAA2","Gluconeogenesis","bioplanet"
