"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Citrate cycle (TCA cycle)","18/30","2.113213639663194E-54","6.1283195550232626E-53","0","0","359460","44426159.317120828","FH;PDHA1;MDH1;MDH2;IDH1;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO1;ACO2;DLAT;DLD","TCA","kegg"
"2","Glyoxylate and dicarboxylate metabolism","6/30","1.2252452780772944E-13","1.7766056532120768E-12","0","0","415.79166666666669","12361.679658806272","CS;MDH1;MDH2;ACO1;ACO2;DLD","TCA","kegg"
"3","Pyruvate metabolism","6/47","2.1965337414058619E-12","2.1233159500256664E-11","0","0","243.1829268292683","6528.0366720706124","FH;PDHA1;MDH1;MDH2;DLAT;DLD","TCA","kegg"
"4","Propanoate metabolism","4/34","2.0934843115650383E-8","1.5177761258846528E-7","0","0","190.01904761904763","3359.888474123185","SUCLA2;SUCLG2;SUCLG1;DLD","TCA","kegg"
"5","Diabetic cardiomyopathy","4/203","2.8201637279818705E-5","1.3366664911745711E-4","0","0","28.403445800430724","297.55820548377221","PDHA1;SDHC;SDHA;SDHB","TCA","kegg"
"6","Glycolysis / Gluconeogenesis","3/67","2.8283417729648286E-5","1.3366664911745711E-4","0","0","62.243749999999999","651.89341300163949","PDHA1;DLAT;DLD","TCA","kegg"
"7","Central carbon metabolism in cancer","3/70","3.2264363580075851E-5","1.3366664911745711E-4","0","0","59.447761194029852","614.7818301978358","PDHA1;IDH1;IDH2","TCA","kegg"
"8","Oxidative phosphorylation","3/133","2.1805759112672099E-4","7.9045876783436365E-4","0","0","30.541538461538462","257.48811663353064","SDHC;SDHA;SDHB","TCA","kegg"
"9","Non-alcoholic fatty liver disease","3/155","3.4201218417955051E-4","1.1020392601341072E-3","0","0","26.092105263157894","208.23233025316819","SDHC;SDHA;SDHB","TCA","kegg"
"10","Cysteine and methionine metabolism","2/50","9.1347050624201607E-4","2.6490644681018464E-3","0","0","51.911458333333336","363.28985484182709","MDH1;MDH2","TCA","kegg"
"11","Thermogenesis","3/232","1.1053626300749149E-3","2.8654266257762987E-3","0","0","17.251528384279474","117.4411910967076","SDHC;SDHA;SDHB","TCA","kegg"
"12","Glutathione metabolism","2/57","1.1856937761832961E-3","2.8654266257762987E-3","0","0","45.288636363636364","305.12889096639515","IDH1;IDH2","TCA","kegg"
"13","Parkinson disease","3/249","1.3547819209689829E-3","3.0222058237000388E-3","0","0","16.045528455284554","105.96651164912798","SDHC;SDHA;SDHB","TCA","kegg"
"14","Prion disease","3/273","1.7634187705898722E-3","3.652796024793307E-3","0","0","14.601481481481482","92.580706048645709","SDHC;SDHA;SDHB","TCA","kegg"
"15","Peroxisome","2/82","2.4346088945992775E-3","4.4234437837820609E-3","0","0","31.096875000000001","187.14003452280946","IDH1;IDH2","TCA","kegg"
"16","Huntington disease","3/306","2.4405207082935508E-3","4.4234437837820609E-3","0","0","12.98943894389439","78.13853965009811","SDHC;SDHA;SDHB","TCA","kegg"
"17","Amyotrophic lateral sclerosis","3/364","3.982225938925707E-3","6.6658080599352422E-3","0","0","10.870360110803324","60.068678761683714","SDHC;SDHA;SDHB","TCA","kegg"
"18","Alzheimer disease","3/369","4.1373981061667018E-3","6.6658080599352422E-3","0","0","10.71912568306011","58.823219155334804","SDHC;SDHA;SDHB","TCA","kegg"
"19","Pathways of neurodegeneration","3/475","8.3293254215131736E-3","1.2713180906520108E-2","0","0","8.2669491525423737","39.581927746613026","SDHC;SDHA;SDHB","TCA","kegg"
"20","Proximal tubule bicarbonate reclamation","1/23","2.0507371457078361E-2","2.9735688612763624E-2","0","0","53.36898395721925","207.44368622737056","MDH1","TCA","kegg"
"21","Glycine, serine and threonine metabolism","1/40","3.5409072945574091E-2","4.889824359150708E-2","0","0","30.079939668174962","100.49067723322013","DLD","TCA","kegg"
"22","Tryptophan metabolism","1/42","3.7148070085386981E-2","4.8967910567101015E-2","0","0","28.609756097560975","94.207448212762941","DLD","TCA","kegg"
"23","Valine, leucine and isoleucine degradation","1/48","4.2347313814152854E-2","5.3394439156975337E-2","0","0","24.949937421777221","78.887966825945881","DLD","TCA","kegg"
"24","Lysine degradation","1/63","5.522966630423428E-2","6.6735846784283084E-2","0","0","18.89943074003795","54.737571477584737","DLD","TCA","kegg"
"25","Renal cell carcinoma","1/69","6.033663736484967E-2","6.9990499343225612E-2","0","0","17.226643598615915","48.3692416453001","FH","TCA","kegg"
"26","Glucagon signaling pathway","1/107","9.2080312987244992E-2","0.10066507259667325","0","0","11.029966703662597","26.307508679008535","PDHA1","TCA","kegg"
"27","HIF-1 signaling pathway","1/109","9.3722653796902672E-2","0.10066507259667325","0","0","10.824618736383442","25.626368549164901","PDHA1","TCA","kegg"
"28","Cushing syndrome","1/155","0.1307310829477655","0.13540005019589998","0","0","7.5737203972498088","15.409588975790413","FH","TCA","kegg"
"29","Pathways in cancer","1/531","0.38403586589300343","0.38403586589300343","0","0","2.1589345172031078","2.066142065152393","FH","TCA","kegg"
