"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Glutamatergic synapse","24/114","3.3103673075861E-53","9.2690284612410801E-52","0","0","2651.2","320370.87749837257","GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1;GRM3;GRM2;GRIN3B;GRM5;GRIN2A;GRIN3A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4","Gluconeogenesis","kegg"
"2","Neuroactive ligand-receptor interaction","26/341","4.0261739426540786E-47","5.6366435197157104E-46","0","0","511134","54603771.974538021","GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4;GRID2;GRID1;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A","Gluconeogenesis","kegg"
"3","Nicotine addiction","11/40","3.4171031001404054E-24","3.189296226797712E-23","0","0","504.35632183908046","27252.010766267849","GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","kegg"
"4","Amphetamine addiction","11/69","2.6432899449197139E-21","1.8503029614437997E-20","0","0","251.81149425287356","11931.398351502612","GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","kegg"
"5","Cocaine addiction","10/49","1.5054405319176497E-20","8.4304669787388381E-20","0","0","319.47115384615387","14581.499291450133","GRM3;GRIA2;GRM2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"6","Spinocerebellar ataxia","11/143","1.1895243927332457E-17","5.5511138327551469E-17","0","0","110.23333333333333","4295.8363243055555","GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRM1;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"7","Long-term potentiation","9/67","9.0674927975861916E-17","3.6269971190344766E-16","0","0","181.78904665314403","6715.1511839293444","GRIA1;GRIA2;GRM5;GRIN2A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"8","cAMP signaling pathway","11/216","1.2095684838971919E-15","4.233489693640172E-15","0","0","70.718373983739838","2429.0709685859565","GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","kegg"
"9","Circadian entrainment","9/97","2.9620807843510728E-15","9.2153624402033378E-15","0","0","119.63502673796792","4002.1367203565646","GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","kegg"
"10","Pathways of neurodegeneration","11/475","6.77100126733227E-12","1.8958803548530356E-11","0","0","30.834770114942529","793.02009273695762","GRIA1;GRIA2;GRM5;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRM1;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","kegg"
