"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","AMPK signaling pathway","3/120","2.0879996040351942E-6","3.1319994060527912E-5","0","0","254.84615384615384","3333.210339156145","PFKFB2;PCK1;FBP1","Gluconeogenesis","kegg"
"2","Citrate cycle (TCA cycle)","2/30","2.1689044409521838E-5","1.3159080201269373E-4","0","0","475.40476190476193","5105.2306811411236","PC;PCK1","Gluconeogenesis","kegg"
"3","Fructose and mannose metabolism","2/33","2.6318160402538746E-5","1.3159080201269373E-4","0","0","429.33333333333331","4527.4279118472859","PFKFB2;FBP1","Gluconeogenesis","kegg"
"4","Pyruvate metabolism","2/47","5.3807352784853449E-5","2.0177757294320044E-4","0","0","295.55555555555554","2905.340794131333","PC;PCK1","Gluconeogenesis","kegg"
"5","Glycolysis / Gluconeogenesis","2/67","1.098341891953128E-4","3.2950256758593839E-4","0","0","204.41025641025641","1863.5140133125917","PCK1;FBP1","Gluconeogenesis","kegg"
"6","Glucagon signaling pathway","2/107","2.8058901406937699E-4","7.0147253517344253E-4","0","0","126.28571428571429","1032.8428108124656","PCK1;FBP1","Gluconeogenesis","kegg"
"7","Insulin signaling pathway","2/137","4.5955248238770628E-4","9.8475531940222768E-4","0","0","98.074074074074076","753.72450415314711","PCK1;FBP1","Gluconeogenesis","kegg"
"8","Proximal tubule bicarbonate reclamation","1/23","5.7372891133286473E-3","1.0757417087491214E-2","0","0","226.96590909090909","1171.3185051583378","PCK1","Gluconeogenesis","kegg"
"9","Pentose phosphate pathway","1/30","7.478192828541258E-3","1.2463654714235431E-2","0","0","172.12068965517241","842.66229614654151","FBP1","Gluconeogenesis","kegg"
"10","Adipocytokine signaling pathway","1/69","1.7132947269309973E-2","2.5043569231275025E-2","0","0","73.26102941176471","297.93443263412689","PCK1","Gluconeogenesis","kegg"
"11","PPAR signaling pathway","1/74","1.8365284102935021E-2","2.5043569231275025E-2","0","0","68.226027397260268","272.71943060410257","PCK1","Gluconeogenesis","kegg"
"12","Insulin resistance","1/108","2.6712437413131718E-2","3.3390546766414647E-2","0","0","46.467289719626166","168.33361194919559","PCK1","Gluconeogenesis","kegg"
"13","Thyroid hormone signaling pathway","1/121","2.9888950061789109E-2","3.4487250071295127E-2","0","0","41.40625","145.34696936891217","PFKFB2","Gluconeogenesis","kegg"
"14","FoxO signaling pathway","1/131","3.2326773605739184E-2","3.463582886329198E-2","0","0","38.20192307692308","131.10363216765762","PCK1","Gluconeogenesis","kegg"
"15","PI3K-Akt signaling pathway","1/354","8.5430009182989972E-2","8.5430009182989972E-2","0","0","13.910764872521247","34.22128624523743","PCK1","Gluconeogenesis","kegg"
