"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Neuroactive ligand-receptor interaction","26/272","8.7194631295294778E-50","3.4005906205164965E-48","0","0","512928","57942243.165271066","GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4;GRID2;GRID1;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A","Gluconeogenesis","bioplanet"
"2","Hypothetical network for drug addiction","11/32","1.9173735750054368E-25","3.7388784712606016E-24","0","0","696.7714285714286","39655.819851374486","GRIA1;GRIA2;GRM5;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRM1;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","bioplanet"
"3","Unblocking of NMDA receptor, glutamate binding and activation","9/17","5.3535539233104623E-23","6.9596201003036014E-22","0","0","1321.2794117647059","67757.449804001808","GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","bioplanet"
"4","Transmission across chemical synapses","14/190","2.620244444144339E-22","2.5547383330407304E-21","0","0","131.23674242424244","6521.6267651263352","GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN2A;GRIA3;GRIA4","Gluconeogenesis","bioplanet"
"5","Neuronal system","14/283","7.7488064711606996E-20","6.0440690475053458E-19","0","0","85.461586121437421","3760.6655686693007","GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN2A;GRIA3;GRIA4","Gluconeogenesis","bioplanet"
"6","Class C GPCRs (metabotropic glutamate and pheromone receptors)","8/19","1.8443930641781294E-19","1.1988554917157841E-18","0","0","806.58585858585855","34793.667166047155","GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1","Gluconeogenesis","bioplanet"
"7","Activation of NMDA receptor upon glutamate binding and postsynaptic events","9/37","2.6989910036156474E-19","1.5037235591572892E-18","0","0","377.13025210084032","16124.671104737467","GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4","Gluconeogenesis","bioplanet"
"8","Long-term potentiation","9/70","1.375994613259361E-16","6.7079737396393854E-16","0","0","172.82256509161041","6311.8576362408767","GRIA1;GRIA2;GRM5;GRIN2A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1","Gluconeogenesis","bioplanet"
"9","Amyotrophic lateral sclerosis (ALS)","7/53","3.844980276133327E-13","1.6661581196577749E-12","0","0","159.60640732265446","4562.6424677143386","GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","bioplanet"
"10","Activation of calcium-permeable kainate receptor","5/10","6.1898153694426078E-13","2.4140279940826169E-12","0","0","950.90476190476193","26730.599393742075","GRIK5;GRIK3;GRIK4;GRIK1;GRIK2","Gluconeogenesis","bioplanet"
