"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Tricarboxylic acid (TCA) cycle","18/39","1.5247174148991575E-51","7.3186435915159554E-50","0","0","359298","42041469.993027285","FH;PDHA1;MDH1;MDH2;IDH1;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO1;ACO2;DLAT;DLD","Gluconeogenesis","bioplanet"
"2","Pyruvate metabolism and citric acid (TCA) cycle","16/40","3.0675423335709164E-43","7.362101600570199E-42","0","0","6652.666666666667","651231.41805153317","FH;PDHA1;MDH2;IDH1;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO2;DLAT;DLD","Gluconeogenesis","bioplanet"
"3","Tricarboxylic acid (TCA) cycle and respiratory electron transport","16/117","9.7693311381750653E-35","1.5630929821080104E-33","0","0","1574.7326732673268","123319.25296136606","FH;PDHA1;MDH2;IDH1;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO2;DLAT;DLD","Gluconeogenesis","bioplanet"
"4","Metabolism","18/1615","1.9506046138508775E-20","2.3407255366210531E-19","0","0","330930","15018782.33050645","FH;PDHA1;MDH1;MDH2;IDH1;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO1;ACO2;DLAT;DLD","Gluconeogenesis","bioplanet"
"5","Glyoxylate and dicarboxylate metabolism","5/16","1.3952971702381534E-12","1.3394852834286271E-11","0","0","698.28671328671328","19061.770435817718","CS;MDH1;MDH2;ACO1;ACO2","Gluconeogenesis","bioplanet"
"6","Pyruvate metabolism","5/52","8.1426793346065444E-10","6.5141434676852355E-9","0","0","163.1342062193126","3414.1920244920138","PDHA1;MDH1;MDH2;DLAT;DLD","Gluconeogenesis","bioplanet"
"7","Glycolysis and gluconeogenesis","5/75","5.3405584803241802E-9","3.6620972436508661E-8","0","0","109.4065934065934","2083.9697459835165","PDHA1;MDH1;MDH2;DLAT;DLD","Gluconeogenesis","bioplanet"
"8","Shuttle for transfer of acetyl groups from mitochondria to the cytosol","3/8","3.4176008683086065E-8","2.0505605209851637E-7","0","0","799.08","13737.577149046836","CS;PDHA1;MDH1","Gluconeogenesis","bioplanet"
"9","Electron transport reaction in mitochondria","3/10","7.3152815006368097E-8","3.9014834670062983E-7","0","0","570.71428571428567","9377.2439048737961","SDHC;SDHA;SDHB","Gluconeogenesis","bioplanet"
"10","Pyruvate dehydrogenase (PDH) complex regulation","3/12","1.3396387529464043E-7","6.4302660141427403E-7","0","0","443.84444444444443","7024.1470984676416","PDHA1;DLAT;DLD","Gluconeogenesis","bioplanet"
