"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Glycolysis / Gluconeogenesis","16/67","6.0974258042615034E-40","1.768253483235836E-38","0","0","6253.1764705882351","564633.92759858875","TPI1;PKLR;ENO1;ENO2;HK2;HK1;PFKL;PKM;PGK1;PGAM4;PGK2;ALDOB;ALDOA;PFKM;GAPDH;PGM1","Glycolysis","kegg"
"2","HIF-1 signaling pathway","11/109","9.0235462835487886E-22","1.3084142111145743E-20","0","0","371.99829931972789","18025.934472898207","PFKL;PGK1;ENO1;PGK2;ALDOB;ENO2;ALDOA;PFKM;GAPDH;HK2;HK1","Glycolysis","kegg"
"3","Fructose and mannose metabolism","7/33","3.2357788378992367E-16","3.1279195433025952E-15","0","0","537.30384615384617","19164.065624243834","PFKL;TPI1;ALDOB;ALDOA;PFKM;HK2;HK1","Glycolysis","kegg"
"4","Central carbon metabolism in cancer","6/70","1.7719954814112562E-11","1.2846967240231608E-10","0","0","169.76420454545453","4202.7386225078653","PFKL;PKM;PGAM4;PFKM;HK2;HK1","Glycolysis","kegg"
"5","Pentose phosphate pathway","5/30","3.2664627416124712E-11","1.8814692880331741E-10","0","0","332.63333333333333","8031.3414747894849","PFKL;ALDOB;ALDOA;PFKM;PGM1","Glycolysis","kegg"
"6","Galactose metabolism","5/31","3.8926950786893258E-11","1.8814692880331741E-10","0","0","319.82371794871796","7665.9616071157961","PFKL;PFKM;HK2;PGM1;HK1","Glycolysis","kegg"
"7","Starch and sucrose metabolism","4/36","2.0684898383664146E-8","8.5694579018037178E-8","0","0","191.83653846153845","3394.3292284288705","HK2;PGM2L1;PGM1;HK1","Glycolysis","kegg"
"8","Type II diabetes mellitus","4/46","5.7006926543655708E-8","2.0665010872075194E-7","0","0","146.08791208791209","2436.7599683023027","PKM;PKLR;HK2;HK1","Glycolysis","kegg"
"9","RNA degradation","4/79","5.1595489775595E-7","1.6625213372136168E-6","0","0","81.673846153846156","1182.4124019621934","PFKL;ENO1;ENO2;PFKM","Glycolysis","kegg"
"10","Glucagon signaling pathway","4/107","1.7464960007622619E-6","5.0648384022105592E-6","0","0","59.387602688573566","787.35484201255906","PFKL;PKM;PGAM4;PFKM","Glycolysis","kegg"
"11","Neomycin, kanamycin and gentamicin biosynthesis","2/5","6.7896847477175261E-6","1.7900077971255295E-5","0","0","888","10567.294169184646","HK2;HK1","Glycolysis","kegg"
"12","Amino sugar and nucleotide sugar metabolism","3/48","8.6156298508488988E-6","2.0821105472884837E-5","0","0","94.942857142857136","1107.217198924578","HK2;PGM1;HK1","Glycolysis","kegg"
"13","Purine metabolism","3/129","1.6684859274618911E-4","3.7220070689534493E-4","0","0","33.770408163265309","293.74932166565526","PKM;PKLR;PGM1","Glycolysis","kegg"
"14","Insulin signaling pathway","3/137","1.9929076041466353E-4","4.1281657514466018E-4","0","0","31.741471215351812","270.46100411619","PKLR;HK2;HK1","Glycolysis","kegg"
"15","Carbohydrate digestion and absorption","2/47","7.1874630037704445E-4","1.3027276694333931E-3","0","0","59.075555555555553","427.58899594765302","HK2;HK1","Glycolysis","kegg"
"16","Pyruvate metabolism","2/47","7.1874630037704445E-4","1.3027276694333931E-3","0","0","59.075555555555553","427.58899594765302","PKM;PKLR","Glycolysis","kegg"
"17","AMPK signaling pathway","2/120","4.5775015847456958E-3","7.4950732258765229E-3","0","0","22.44632768361582","120.90943213897548","PFKL;PFKM","Glycolysis","kegg"
"18","Thyroid hormone signaling pathway","2/121","4.6521144160612902E-3","7.4950732258765229E-3","0","0","22.25658263305322","119.52749584638217","PFKL;PFKM","Glycolysis","kegg"
"19","Shigellosis","2/246","1.8145310558352331E-2","2.7695474010116718E-2","0","0","10.786338797814208","43.246133282395348","HK2;HK1","Glycolysis","kegg"
"20","Maturity onset diabetes of the young","1/26","2.188015065344143E-2","3.1726218447490073E-2","0","0","49.895000000000003","190.70744238188936","PKLR","Glycolysis","kegg"
"21","Glycine, serine and threonine metabolism","1/40","3.3474383104990776E-2","4.6226529049749165E-2","0","0","31.96153846153846","108.57254123777712","PGAM4","Glycolysis","kegg"
"22","Inositol phosphate metabolism","1/73","6.0293950784224219E-2","7.9478389670113739E-2","0","0","17.283854166666668","48.542110579522607","TPI1","Glycolysis","kegg"
"23","Non-alcoholic fatty liver disease","1/155","0.12393582001851285","0.15626690350160316","0","0","8.0474837662337659","16.803077119770684","PKLR","Glycolysis","kegg"
"24","Pathogenic Escherichia coli infection","1/197","0.15493977178893165","0.17766254736475862","0","0","6.3096301020408161","11.765685914464035","GAPDH","Glycolysis","kegg"
"25","Diabetic cardiomyopathy","1/203","0.15928366315461118","0.17766254736475862","0","0","6.1203589108910892","11.243519306184107","GAPDH","Glycolysis","kegg"
"26","Viral carcinogenesis","1/203","0.15928366315461118","0.17766254736475862","0","0","6.1203589108910892","11.243519306184107","PKM","Glycolysis","kegg"
"27","Salmonella infection","1/249","0.19189543678576401","0.20610991358470951","0","0","4.973538306451613","8.2103401899860859","GAPDH","Glycolysis","kegg"
"28","Human papillomavirus infection","1/331","0.24709638779420101","0.25592125878685107","0","0","3.7221590909090909","5.2034919972731055","PKM","Glycolysis","kegg"
"29","Alzheimer disease","1/369","0.27145562138777646","0.27145562138777646","0","0","3.3313519021739131","4.3439383334221482","GAPDH","Glycolysis","kegg"
