"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Pentose Phosphate Metabolism WP134","6/7","6.6123012864214628E-21","1.6530753216053657E-19","0","0","39980","1857684.9011896488","RPIA;G6PD;RPE;TALDO1;PGD;TKT","HMP-Shunt-Glutathione","wikipathways"
"2","Metabolic reprogramming in colon cancer WP4290","5/42","3.9953554761101562E-12","4.9941943451376952E-11","0","0","674.12162162162167","17692.920957247978","RPIA;G6PD;TALDO1;TKT;PGD","HMP-Shunt-Glutathione","wikipathways"
"3","Glutathione metabolism WP100","3/23","1.110748578776731E-7","9.2562381564727586E-7","0","0","499.27499999999998","7994.921264256981","G6PD;GPX1;GSR","HMP-Shunt-Glutathione","wikipathways"
"4","Sulfation Biotransformation Reaction WP692","2/17","2.4394349832130377E-5","1.2197174916065188E-4","0","0","380.49523809523811","4041.3004289208102","G6PD;GSR","HMP-Shunt-Glutathione","wikipathways"
"5","Cori Cycle WP1946","2/17","2.4394349832130377E-5","1.2197174916065188E-4","0","0","380.49523809523811","4041.3004289208102","G6PD;TALDO1","HMP-Shunt-Glutathione","wikipathways"
"6","NRF2 pathway WP2884","3/146","3.099654486683811E-5","1.2915227027849213E-4","0","0","69.3986013986014","720.47093643361484","G6PD;GSR;PGD","HMP-Shunt-Glutathione","wikipathways"
"7","Oxidative Stress WP408","2/33","9.4355619188798664E-5","3.3698435424570951E-4","0","0","183.963133640553","1705.0512168868192","GPX1;GSR","HMP-Shunt-Glutathione","wikipathways"
"8","Vitamin D-sensitive calcium signaling in depression WP4698","2/41","1.4626426509152532E-4","4.5707582841101663E-4","0","0","146.16849816849816","1290.6818034038872","G6PD;GSR","HMP-Shunt-Glutathione","wikipathways"
"9","One-carbon metabolism and related pathways WP3940","2/52","2.3591429006626741E-4","6.5531747240629831E-4","0","0","113.94857142857143","951.70325402274523","GPX1;GSR","HMP-Shunt-Glutathione","wikipathways"
"10","Nuclear Receptors Meta-Pathway WP2882","3/319","3.1441969678247501E-4","7.8604924195618754E-4","0","0","31.13132911392405","251.06737802216946","G6PD;GSR;PGD","HMP-Shunt-Glutathione","wikipathways"
"11","Selenium Micronutrient Network WP15","2/89","6.9072394340393231E-4","1.5698271440998462E-3","0","0","65.366174055829234","475.72000128280672","GPX1;GSR","HMP-Shunt-Glutathione","wikipathways"
"12","VEGFA-VEGFR2 Signaling Pathway WP3888","3/432","7.6298796329304973E-4","1.5895582568605203E-3","0","0","22.799533799533801","163.66117078052136","GPX1;TKT;PGD","HMP-Shunt-Glutathione","wikipathways"
"13","Thiamine metabolic pathways WP4297","1/9","4.0434660343014565E-3","7.7758962198104936E-3","0","0","312.234375","1720.6153032705638","TKT","HMP-Shunt-Glutathione","wikipathways"
"14","Glycolysis in senescence WP5049","1/11","4.9400429229450454E-3","8.8215052195447247E-3","0","0","249.76249999999999","1326.3340991921912","G6PD","HMP-Shunt-Glutathione","wikipathways"
"15","NAD Metabolism in Oncogene-Induced Senescence and Mitochondrial Dysfunction-Associated Senescence WP5046","1/24","1.0750337464808102E-2","1.7917229108013504E-2","0","0","108.52173913043478","491.90930693624915","G6PD","HMP-Shunt-Glutathione","wikipathways"
"16","Amyotrophic lateral sclerosis (ALS) WP2447","1/38","1.6973844995694702E-2","2.6521632805772972E-2","0","0","67.412162162162161","274.77747713172664","GPX1","HMP-Shunt-Glutathione","wikipathways"
"17","ATM Signaling Network in Development and Disease  WP3878","1/45","2.0072530463390581E-2","2.9518427152044974E-2","0","0","56.667613636363633","221.47987353276542","G6PD","HMP-Shunt-Glutathione","wikipathways"
"18","TYROBP causal network in microglia WP3945","1/61","2.7122663879516524E-2","3.6465232479136078E-2","0","0","41.522916666666667","149.78917144936761","GPX1","HMP-Shunt-Glutathione","wikipathways"
"19","Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680","1/66","2.9316565848365818E-2","3.6465232479136078E-2","0","0","38.319230769230771","135.25165407819361","GPX1","HMP-Shunt-Glutathione","wikipathways"
"20","p53 transcriptional gene network WP4963","1/67","2.9754818181739934E-2","3.6465232479136078E-2","0","0","37.736742424242422","132.63575146396252","GPX1","HMP-Shunt-Glutathione","wikipathways"
"21","Folate Metabolism WP176","1/69","3.0630795282474307E-2","3.6465232479136078E-2","0","0","36.623161764705884","127.65916393890298","GPX1","HMP-Shunt-Glutathione","wikipathways"
"22","Amino Acid metabolism WP3925","1/91","4.0220252479191559E-2","4.5704832362717683E-2","0","0","27.640277777777779","88.818843426343989","GSR","HMP-Shunt-Glutathione","wikipathways"
"23","Male infertility WP4673","1/146","6.3826012989552219E-2","6.937610107560023E-2","0","0","17.108620689655172","47.075985644775116","GPX1","HMP-Shunt-Glutathione","wikipathways"
"24","Vitamin D Receptor Pathway WP2877","1/182","7.8996223307942537E-2","7.941448038936727E-2","0","0","13.680939226519337","34.72708369011773","G6PD","HMP-Shunt-Glutathione","wikipathways"
"25","Metapathway biotransformation Phase I and II WP702","1/183","7.941448038936727E-2","7.941448038936727E-2","0","0","13.605082417582418","34.462688086504492","GSR","HMP-Shunt-Glutathione","wikipathways"
