"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Glycogen Synthesis and Degradation WP500","4/40","1.7150492788048153E-9","2.0580591345657784E-8","0","0","443.44444444444446","8950.4046305302963","PYGB;PYGM;PYGL;PGM1","Gluconeogenesis","wikipathways"
"2","Glucuronidation WP698","3/26","1.6295949721380597E-7","9.7775698328283584E-7","0","0","434.08695652173913","6784.6767511856724","PGM2;PGM5;PGM1","Gluconeogenesis","wikipathways"
"3","PI3K-Akt signaling pathway WP4172","3/340","3.7910484895495295E-4","1.5164193958198118E-3","0","0","29.160237388724035","229.71553631563273","G6PC2;G6PC;G6PC3","Gluconeogenesis","wikipathways"
"4","Pathways in clear cell renal cell carcinoma WP4018","2/85","6.3028283688298904E-4","1.8908485106489672E-3","0","0","68.53012048192771","505.02188772388456","PGM2;PGM1","Gluconeogenesis","wikipathways"
"5","Glycolysis and Gluconeogenesis WP534","1/45","2.0072530463390581E-2","4.8174073112137394E-2","0","0","56.667613636363633","221.47987353276542","G6PC","Gluconeogenesis","wikipathways"
"6","Amino Acid metabolism WP3925","1/91","4.0220252479191559E-2","6.9692787969826281E-2","0","0","27.640277777777779","88.818843426343989","G6PC2","Gluconeogenesis","wikipathways"
"7","TNF-alpha signaling pathway WP231","1/92","4.0654126315732002E-2","6.9692787969826281E-2","0","0","27.335164835164836","87.545100688435838","PYGL","Gluconeogenesis","wikipathways"
"8","DNA damage response (only ATM dependent) WP710","1/110","4.843410188094173E-2","7.2509816041474828E-2","0","0","22.800458715596331","69.029554527160585","G6PC","Gluconeogenesis","wikipathways"
"9","Angiopoietin Like Protein 8 Regulatory Pathway WP3915","1/132","5.7866768719600295E-2","7.2509816041474828E-2","0","0","18.950381679389313","54.00123507299854","G6PC","Gluconeogenesis","wikipathways"
"10","Ectoderm Differentiation WP2858","1/138","6.0424846701229031E-2","7.2509816041474828E-2","0","0","18.114963503649633","50.837016399857454","PGM1","Gluconeogenesis","wikipathways"
"11","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706","1/158","6.8907244430395656E-2","7.5171539378613442E-2","0","0","15.79140127388535","42.241903064880837","G6PC","Gluconeogenesis","wikipathways"
"12","IL-18 signaling pathway WP4754","1/272","0.11597009421931868","0.11597009421931868","0","0","9.0959409594095941","19.596503768950914","PYGB","Gluconeogenesis","wikipathways"
