"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Fatty acid biosynthesis","6/18","5.8416400618889386E-18","5.8416400618889388E-17","0","0","4995","198209.19281939781","OLAH;FASN;MCAT;ACACB;ACACA;CBR4","Gluconeogenesis","kegg"
"2","AMPK signaling pathway","3/120","1.153988610253748E-5","5.7236846896685334E-5","0","0","101.92307692307692","1158.8349266090672","FASN;ACACB;ACACA","Gluconeogenesis","kegg"
"3","Insulin signaling pathway","3/137","1.7171054069005599E-5","5.7236846896685334E-5","0","0","88.916417910447763","975.61632248674584","FASN;ACACB;ACACA","Gluconeogenesis","kegg"
"4","Fatty acid elongation","2/27","4.8894965278531189E-5","1.2223741319632799E-4","0","0","266.22666666666669","2642.5222657906538","PPT1;PPT2","Gluconeogenesis","kegg"
"5","Propanoate metabolism","2/34","7.8039306520185809E-5","1.5607861304037162E-4","0","0","207.91666666666666","1966.537777625364","ACACB;ACACA","Gluconeogenesis","kegg"
"6","Pyruvate metabolism","2/47","1.4998531968970716E-4","2.4997553281617859E-4","0","0","147.75555555555556","1300.9836975672104","ACACB;ACACA","Gluconeogenesis","kegg"
"7","Glucagon signaling pathway","2/107","7.7744677773607541E-4","1.1106382539086792E-3","0","0","63.133333333333333","452.0028076501448","ACACB;ACACA","Gluconeogenesis","kegg"
"8","Lysosome","2/128","1.1096058245021485E-3","1.3870072806276856E-3","0","0","52.555555555555557","357.57488422434","PPT1;PPT2","Gluconeogenesis","kegg"
"9","Adipocytokine signaling pathway","1/69","2.7273557473830964E-2","3.0303952748701072E-2","0","0","41.857142857142854","150.7626325151401","ACACB","Gluconeogenesis","kegg"
"10","Insulin resistance","1/108","4.2399339108608228E-2","4.2399339108608228E-2","0","0","26.548731642189587","83.910518679018736","ACACB","Gluconeogenesis","kegg"
