"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Fatty acid biosynthesis","5/25","1.1130265032515442E-13","2.8938689084540151E-12","0","0","1664.3333333333333","49641.276986355348","OLAH;FASN;MCAT;ACACB;ACACA","FA-Synthesis","bioplanet"
"2","ChREBP activates metabolic gene expression","3/8","2.3497053794504525E-9","3.0546169932855879E-8","0","0","2398.44","47654.546526647704","FASN;ACACB;ACACA","FA-Synthesis","bioplanet"
"3","Metabolism","7/1615","1.6449246340393463E-7","1.4256013495007668E-6","0","0","80.02985074626865","1250.0983672664765","OLAH;FASN;PPT1;PPT2;MCAT;ACACB;ACACA","FA-Synthesis","bioplanet"
"4","AMPK signaling","3/68","2.0794874561975374E-6","1.3516668465283993E-5","0","0","183.94153846153847","2406.5787211670349","FASN;ACACB;ACACA","FA-Synthesis","bioplanet"
"5","Fatty acid elongation in mitochondria","2/8","3.9152037969490335E-6","2.0359059744134976E-5","0","0","1110.3333333333333","13824.364138043773","PPT1;PPT2","FA-Synthesis","bioplanet"
"6","Integration of energy metabolism","3/125","1.3044279656333349E-5","5.6525211844111181E-5","0","0","97.721311475409834","1099.0873096928335","FASN;ACACB;ACACA","FA-Synthesis","bioplanet"
"7","Fatty acyl-CoA biosynthesis","2/18","2.1351432280008236E-5","7.9305319897173449E-5","0","0","416.16666666666669","4475.619360309719","FASN;ACACA","FA-Synthesis","bioplanet"
"8","Fatty acid, triacylglycerol, and ketone body metabolism","3/173","3.4501102557195138E-5","1.1212858331088419E-4","0","0","69.959999999999994","718.80536856701258","FASN;ACACB;ACACA","FA-Synthesis","bioplanet"
"9","Ghrelin pathway","2/25","4.1807234442575231E-5","1.2077645505632844E-4","0","0","289.40579710144925","2917.9169208177068","FASN;ACACA","FA-Synthesis","bioplanet"
"10","Propanoate metabolism","2/33","7.3463419114969304E-5","1.9100488969892018E-4","0","0","214.63440860215053","2043.0454763342129","ACACB;ACACA","FA-Synthesis","bioplanet"
"11","Triglyceride biosynthesis","2/38","9.7714514143369419E-5","2.3096157888432772E-4","0","0","184.77777777777777","1706.1383034595449","FASN;ACACA","FA-Synthesis","bioplanet"
"12","Insulin signaling pathway","3/277","1.3978702039220948E-4","3.0287187751645384E-4","0","0","43.178102189781022","383.22252129037446","FASN;ACACB;ACACA","FA-Synthesis","bioplanet"
"13","Pyruvate metabolism","2/52","1.8379456792760984E-4","3.6758913585521969E-4","0","0","132.94666666666666","1143.5662661624315","ACACB;ACACA","FA-Synthesis","bioplanet"
"14","Lipid and lipoprotein metabolism","3/489","7.4226740582058657E-4","1.3784966108096608E-3","0","0","24.081481481481482","173.52636320870431","FASN;ACACB;ACACA","FA-Synthesis","bioplanet"
"15","Lysosome","2/121","9.9249972197192559E-4","1.7203328514180044E-3","0","0","55.666666666666664","384.95079962128187","PPT1;PPT2","FA-Synthesis","bioplanet"
"16","Import of palmitoyl-CoA into the mitochondrial matrix","1/8","3.1960315919264243E-3","5.1935513368804396E-3","0","0","407.85714285714283","2343.4840743955892","ACACB","FA-Synthesis","bioplanet"
"17","Vitamin B5 (pantothenate) metabolism","1/11","4.3922443961630329E-3","6.3443530166799366E-3","0","0","285.45714285714286","1549.4370877511301","FASN","FA-Synthesis","bioplanet"
"18","Reversal of insulin resistance by leptin","1/11","4.3922443961630329E-3","6.3443530166799366E-3","0","0","285.45714285714286","1549.4370877511301","ACACA","FA-Synthesis","bioplanet"
"19","SREBF and miR-33 in cholesterol and lipid homeostasis","1/16","6.3831440708516521E-3","8.7348287285338392E-3","0","0","190.25714285714287","961.57757966873419","FASN","FA-Synthesis","bioplanet"
"20","Activated AMPK stimulation of fatty-acid oxidation in muscle","1/18","7.1785287204102037E-3","9.3320873365332659E-3","0","0","167.85714285714286","828.65378226443977","ACACB","FA-Synthesis","bioplanet"
"21","Delta Np63 pathway","1/47","1.8649185668920001E-2","2.3089467971043814E-2","0","0","61.944099378881987","246.65847982339551","FASN","FA-Synthesis","bioplanet"
"22","Metabolism of vitamins and cofactors","1/51","2.0222210774875234E-2","2.3898976370307096E-2","0","0","56.977142857142859","222.26633779925106","FASN","FA-Synthesis","bioplanet"
"23","Leptin signaling pathway","1/61","2.4145126293327844E-2","2.729449059245756E-2","0","0","47.457142857142856","176.71486865577202","ACACA","FA-Synthesis","bioplanet"
"24","Adipocytokine signaling pathway","1/67","2.6492273471440286E-2","2.869996292739364E-2","0","0","43.129870129870127","156.60033842612921","ACACB","FA-Synthesis","bioplanet"
"25","p73 transcription factor network","1/79","3.1171754372239124E-2","3.241862454712869E-2","0","0","36.472527472527474","126.49558455333695","FASN","FA-Synthesis","bioplanet"
"26","TGF-beta regulation of extracellular matrix","1/565","0.20490514518483627","0.20490514518483627","0","0","4.9209726443768993","7.8007657613944312","ACACB","FA-Synthesis","bioplanet"
