"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Starch and sucrose metabolism","9/53","6.873598040887095E-22","8.3170536294733851E-20","0","0","1359.8181818181818","66262.830856734872","GYS2;GYS1;HK3;UGP2;GBE1;PGM2;HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"2","Glycogen biosynthesis","6/8","2.9087577948525759E-19","1.7597984658858086E-17","0","0","9993","426515.1367800546","GYS2;GYS1;UGP2;GBE1;PGM2;PGM1","Gluconeogenesis","bioplanet"
"3","Glycogen metabolism","7/36","2.5876616603653028E-17","1.0436902030140056E-15","0","0","963.53793103448277","36800.589148044754","GYS2;GSK3B;GYS1;GSK3A;UGP2;GBE1;PGM1","Gluconeogenesis","bioplanet"
"4","Carbohydrate metabolism","9/235","7.8095110139396159E-16","2.3623770817167337E-14","0","0","262.3274336283186","9125.3271261617811","GYS2;GYS1;HK3;UGP2;GBE1;PGM2;HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"5","Galactose metabolism","6/26","2.3814528284056434E-15","5.763115844741657E-14","0","0","998.4","33617.191956303795","HK3;UGP2;PGM2;HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"6","Amino sugar and nucleotide sugar metabolism","6/45","8.384867751691057E-14","1.6909483299243633E-12","0","0","511.5128205128205","15401.529632792603","HK3;UGP2;PGM2;HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"7","Glucose metabolism","6/61","5.6927972046558472E-13","9.8404065966193925E-12","0","0","362.41818181818184","10218.164809618886","GYS2;GYS1;UGP2;GBE1;PGM2;PGM1","Gluconeogenesis","bioplanet"
"8","Glucuronidation","5/27","2.3827105189100859E-12","3.6038496598515046E-11","0","0","648.2467532467532","17348.886800450167","UGP2;PGM2;PGM5;PGM1;HK1","Gluconeogenesis","bioplanet"
"9","Insulin signaling pathway","7/277","6.7643397265711611E-11","9.0942789657234499E-10","0","0","102.24148148148149","2394.1653961231518","GYS2;GSK3B;GYS1;HK3;GSK3A;HK2;HK1","Gluconeogenesis","bioplanet"
"10","Glycolysis and gluconeogenesis","5/75","5.0236909764937409E-10","6.0786660815574264E-9","0","0","203.24489795918367","4351.8159386678581","HK3;PGM2;HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"11","Metabolism","9/1615","2.5120009583992767E-8","2.7632010542392044E-7","0","0","34.337484433374847","600.89228083599858","GYS2;GYS1;HK3;UGP2;GBE1;PGM2;HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"12","Fructose and mannose metabolism","3/34","9.7713465122122907E-7","9.8527743998140596E-6","0","0","214.59139784946237","2969.6533966324346","HK3;HK2;HK1","Gluconeogenesis","bioplanet"
"13","Hexose transport","3/42","1.8695395169197152E-6","1.7401098580560427E-5","0","0","170.5042735042735","2248.9204048077477","HK3;HK2;HK1","Gluconeogenesis","bioplanet"
"14","Type 2 diabetes mellitus","3/50","3.183301843206519E-6","2.751282307342777E-5","0","0","141.42553191489361","1790.1066225817303","HK3;HK2;HK1","Gluconeogenesis","bioplanet"
"15","Fas signaling pathway in cardiomyocytes","2/7","6.9183362035045763E-6","5.5807912041603579E-5","0","0","799.32","9496.9888922401569","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"16","HIF-1 transcriptional activity in hypoxia","3/66","7.3920318600076983E-6","5.590224094130822E-5","0","0","105.42328042328042","1245.5874348034204","HK2;PGM1;HK1","Gluconeogenesis","bioplanet"
"17","AKT phosphorylation of cytosolic targets","2/14","2.9910033177640367E-5","2.0106188969413802E-4","0","0","332.93333333333334","3468.271932060884","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"18","Glycogen breakdown (glycogenolysis)","2/14","2.9910033177640367E-5","2.0106188969413802E-4","0","0","332.93333333333334","3468.271932060884","PGM2;PGM1","Gluconeogenesis","bioplanet"
"19","Phosphoinositides and their downstream targets","2/25","9.8244631898203864E-5","6.256631820885614E-4","0","0","173.60869565217391","1602.0697145166423","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"20","Pentose phosphate pathway","2/27","1.148697562279265E-4","6.6186859540852882E-4","0","0","159.70400000000001","1448.7886335131677","PGM2;PGM1","Gluconeogenesis","bioplanet"
"21","Insulin regulation of blood glucose","2/27","1.148697562279265E-4","6.6186859540852882E-4","0","0","159.70400000000001","1448.7886335131677","GSK3B;GYS1","Gluconeogenesis","bioplanet"
"22","PIK3C1/AKT pathway","2/35","1.9420443968589212E-4","1.0681244182724067E-3","0","0","120.93939393939394","1033.6205203504062","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"23","PI3K/AKT activation","2/37","2.1723372076184829E-4","1.142838270094941E-3","0","0","114.01714285714286","961.68177925867292","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"24","GAB1 signalosome","2/39","2.4153608334790791E-4","1.217744420212369E-3","0","0","107.84324324324324","898.17155437421616","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"25","PI3K events in ERBB2 signaling","2/44","3.0784483010753261E-4","1.4899689777204579E-3","0","0","94.980952380952374","768.00787910486736","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"26","Interleukin-5 signaling pathway","2/49","3.8205410669454041E-4","1.7708418393294148E-3","0","0","84.855319148936175","667.80697627962684","GSK3B;GSK3A","Gluconeogenesis","bioplanet"
"27","SLC-mediated transmembrane transport","3/251","3.9514652613135699E-4","1.7708418393294148E-3","0","0","26.532258064516128","207.9135109890486","HK3;HK2;HK1","Gluconeogenesis","bioplanet"
