"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Synthesis and degradation of ketone bodies","4/10","4.7223345809444108E-13","4.722334580944411E-12","0","0","6662.666666666667","189095.16090166365","BDH2;HMGCS1;BDH1;HMGCS2","Ketosis","kegg"
"2","Butanoate metabolism","4/28","4.5981690605313917E-11","2.299084530265696E-10","0","0","1664.1666666666667","39611.789437083862","BDH2;HMGCS1;BDH1;HMGCS2","Ketosis","kegg"
"3","Valine, leucine and isoleucine degradation","4/48","4.3629918321547479E-10","1.4543306107182493E-9","0","0","906.81818181818187","19544.373796001761","ACAA2;HMGCS1;HMGCS2;ACAA1","Ketosis","kegg"
"4","PPAR signaling pathway","3/74","9.6467001367312016E-7","2.4116750341828003E-6","0","0","280.6056338028169","3886.8032540273707","HMGCS1;HMGCS2;ACAA1","Ketosis","kegg"
"5","Terpenoid backbone biosynthesis","2/22","1.7278715595310902E-5","3.4557431190621804E-5","0","0","499.35","5475.88964033087","HMGCS1;HMGCS2","Ketosis","kegg"
"6","Fatty acid degradation","2/43","6.7355955097256852E-5","1.1225992516209476E-4","0","0","243.32926829268294","2337.3039679641729","ACAA2;ACAA1","Ketosis","kegg"
"7","alpha-Linolenic acid metabolism","1/25","7.4774468101390743E-3","8.9706965453475E-3","0","0","166.41666666666666","814.7533474976135","ACAA1","Ketosis","kegg"
"8","Biosynthesis of unsaturated fatty acids","1/27","8.0736268908127504E-3","8.9706965453475E-3","0","0","153.6","740.22181920983223","ACAA1","Ketosis","kegg"
"9","Fatty acid elongation","1/27","8.0736268908127504E-3","8.9706965453475E-3","0","0","153.6","740.22181920983223","ACAA2","Ketosis","kegg"
"10","Peroxisome","1/82","2.4352069500002304E-2","2.4352069500002304E-2","0","0","49.1679012345679","182.66556005448462","ACAA1","Ketosis","kegg"
