"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Synthesis and Degradation of Ketone Bodies WP311","2/5","7.4966635810394549E-7","1.2744328087767073E-5","0","0","3331.8333333333335","46990.969827806068","BDH1;HMGCS2","Ketosis","wikipathways"
"2","Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718","2/46","7.7171196243681905E-5","6.559551680712962E-4","0","0","226.70454545454547","2146.7751285263748","HMGCS1;HMGCS2","Ketosis","wikipathways"
"3","PPAR signaling pathway WP3942","2/67","1.6439509275837475E-4","9.3157219229745702E-4","0","0","153.30000000000001","1335.7393739315212","HMGCS2;ACAA1","Ketosis","wikipathways"
"4","Amino Acid metabolism WP3925","2/91","3.0350366026081743E-4","1.2898905561084741E-3","0","0","111.82584269662921","905.80239687134815","HMGCS2;ACAA1","Ketosis","wikipathways"
"5","Mevalonate pathway WP3963","1/7","2.0983872819732461E-3","6.7939337461452838E-3","0","0","666.26666666666665","4108.5908256912071","HMGCS1","Ketosis","wikipathways"
"6","Ketogenesis and Ketolysis WP4742","1/8","2.3978589692277472E-3","6.7939337461452838E-3","0","0","571.05714285714282","3445.2899826083253","BDH1","Ketosis","wikipathways"
"7","Mevalonate arm of cholesterol biosynthesis pathway WP4190","1/11","3.2958256764104633E-3","8.0041480712825536E-3","0","0","399.68","2284.2105915703851","HMGCS1","Ketosis","wikipathways"
"8","Cholesterol Biosynthesis Pathway WP197","1/15","4.4920683932145331E-3","9.0495576305825078E-3","0","0","285.42857142857144","1542.8675927558304","HMGCS1","Ketosis","wikipathways"
"9","SREBF and miR33 in cholesterol and lipid homeostasis WP2011","1/16","4.7909422750142686E-3","9.0495576305825078E-3","0","0","266.38666666666666","1422.7786907214238","HMGCS1","Ketosis","wikipathways"
"10","Fatty Acid Biosynthesis WP357","1/22","6.5826171479286674E-3","1.1190449151478734E-2","0","0","190.21904761904761","955.5316921910462","ACAA2","Ketosis","wikipathways"
"11","PPAR-alpha pathway WP2878","1/26","7.7755741446350474E-3","1.172651856675966E-2","0","0","159.75200000000001","775.87839812914592","ACAA1","Ketosis","wikipathways"
"12","Eicosanoid metabolism via lipooxygenases (LOX) WP4721","1/29","8.669508668721345E-3","1.172651856675966E-2","0","0","142.61428571428573","677.12452238539186","ACAA1","Ketosis","wikipathways"
"13","Eicosanoid metabolism via cyclooxygenases (COX) WP4719","1/30","8.9673377275220935E-3","1.172651856675966E-2","0","0","137.68965517241378","649.09195214683928","ACAA1","Ketosis","wikipathways"
"14","Endochondral Ossification with Skeletal Dysplasias WP4808","1/64","1.9049268540735301E-2","2.1589171012833343E-2","0","0","63.273015873015872","250.60711544601855","HMGCS1","Ketosis","wikipathways"
"15","Endochondral Ossification WP474","1/64","1.9049268540735301E-2","2.1589171012833343E-2","0","0","63.273015873015872","250.60711544601855","HMGCS1","Ketosis","wikipathways"
"16","Sterol regulatory element-binding proteins (SREBP) signaling WP1982","1/69","2.0524671815930529E-2","2.1807463804426188E-2","0","0","58.60588235294118","227.74993771071073","HMGCS1","Ketosis","wikipathways"
"17","Nuclear Receptors Meta-Pathway WP2882","1/319","9.1974887240547809E-2","9.1974887240547809E-2","0","0","12.374842767295597","29.52934114172427","ACAA1","Ketosis","wikipathways"
