"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Glycolysis and Gluconeogenesis WP534","14/45","6.020130343884059E-36","1.2642273722156525E-34","0","0","3003.5268817204301","243579.88620374174","TPI1;PKLR;ENO1;ENO2;HK2;HK1;PFKL;PKM;PGK1;PGK2;ALDOB;ALDOA;PFKM;GAPDH","Gluconeogenesis","wikipathways"
"2","Pathways in clear cell renal cell carcinoma WP4018","15/85","9.719417401140831E-35","1.0205388271197872E-33","0","0","2133.5357142857142","167090.73523406373","TPI1;PKLR;ENO1;ENO2;HK2;HK1;PFKL;PKM;PGK1;PGK2;ALDOB;ALDOA;PFKM;GAPDH;PGM1","Gluconeogenesis","wikipathways"
"3","Computational Model of Aerobic Glycolysis WP4629","8/12","1.8924156290373332E-23","1.3246909403261334E-22","0","0","4439.7777777777774","232296.29036494112","PKM;TPI1;PGK1;ENO1;ALDOA;PFKM;GAPDH;HK1","Gluconeogenesis","wikipathways"
"4","Cori Cycle WP1946","6/17","1.7145322757072292E-15","9.0012944474629539E-15","0","0","990.34710743801656","33671.441242826244","TPI1;PGK1;PGK2;ALDOA;GAPDH;HK1","Gluconeogenesis","wikipathways"
"5","Glycolysis in senescence WP5049","5/11","1.068937434660467E-13","4.4895372255739619E-13","0","0","1387.2916666666667","41434.158504582083","PKM;PGK1;ENO1;GAPDH;HK1","Gluconeogenesis","wikipathways"
"6","Metabolic reprogramming in colon cancer WP4290","6/42","7.1833669877793269E-13","2.5141784457227646E-12","0","0","302.22727272727275","8450.8300379663306","PFKL;PKM;PGK1;ENO1;ALDOB;GAPDH","Gluconeogenesis","wikipathways"
"7","Photodynamic therapy-induced HIF-1 survival signaling WP3614","4/37","2.3180132928269954E-8","6.9540398784809868E-8","0","0","186.01398601398603","3270.120342895983","PFKL;PKM;PGK1;HK1","Gluconeogenesis","wikipathways"
"8","Glycogen Synthesis and Degradation WP500","3/40","4.9422046760553853E-6","1.2973287274645386E-5","0","0","115.51737451737452","1411.3565152386329","HK2;PGM1;HK1","Gluconeogenesis","wikipathways"
"9","HIF1A and PPARG regulation of glycolysis WP2456","2/8","1.8982825688105916E-5","4.4293259938913809E-5","0","0","443.93333333333334","4826.4325006402914","TPI1;GAPDH","Gluconeogenesis","wikipathways"
"10","Glucuronidation WP698","2/26","2.1836712816906202E-4","4.5857096915503026E-4","0","0","110.88333333333334","934.67252279457887","PGM1;HK1","Gluconeogenesis","wikipathways"
"11","7q11.23 copy number variation syndrome WP4932","2/104","3.4612740273215416E-3","6.607886779432034E-3","0","0","25.988235294117647","147.2524218660231","PKLR;GAPDH","Gluconeogenesis","wikipathways"
"12","VEGFA-VEGFR2 Signaling Pathway WP3888","3/432","5.43215897388324E-3","9.5062782042956706E-3","0","0","9.7672327672327679","50.940207669159264","PGK1;ALDOA;GAPDH","Gluconeogenesis","wikipathways"
"13","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706","2/158","7.8024856073765532E-3","1.1990905572624968E-2","0","0","16.946153846153845","82.244987548836988","ALDOA;GAPDH","Gluconeogenesis","wikipathways"
"14","Insulin Signaling WP481","2/160","7.9939370484166453E-3","1.1990905572624968E-2","0","0","16.729957805907173","80.790169021253391","PFKL;PFKM","Gluconeogenesis","wikipathways"
"15","Fatty acid beta-oxidation WP143","1/34","2.8521354338754766E-2","3.992989607425667E-2","0","0","37.784090909090907","134.40187279306201","TPI1","Gluconeogenesis","wikipathways"
"16","16p11.2 proximal deletion syndrome WP4949","1/74","6.1095625316414638E-2","8.0188008227794219E-2","0","0","17.046232876712327","47.649590694413071","ALDOA","Gluconeogenesis","wikipathways"
"17","Alzheimer's disease WP2059","1/83","6.8281787330545546E-2","8.4348090231850387E-2","0","0","15.168445121951219","40.713808681356575","GAPDH","Gluconeogenesis","wikipathways"
"18","Amino Acid metabolism WP3925","1/91","7.4625999348843328E-2","8.7063665906983889E-2","0","0","13.814583333333333","35.852522791117856","PKM","Gluconeogenesis","wikipathways"
"19","Ectoderm Differentiation WP2858","1/138","0.11108481371066996","0.12277795199600365","0","0","9.0538321167883211","19.895445529940535","PGM1","Gluconeogenesis","wikipathways"
"20","Nonalcoholic fatty liver disease WP4396","1/155","0.12393582001851285","0.13013261101943849","0","0","8.0474837662337659","16.803077119770684","PKLR","Gluconeogenesis","wikipathways"
"21","IL-18 signaling pathway WP4754","1/272","0.20775122366844603","0.20775122366844603","0","0","4.5461254612546123","7.1438449917377955","ENO1","Gluconeogenesis","wikipathways"
