"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Urea cycle","6/9","2.6447403387171765E-20","5.8184287451777884E-19","0","0","19989","901086.70898147044","ARG2;CPS1;ARG1;ASL;ASS1;OTC","Urea-Cycle","bioplanet"
"2","Arginine and proline metabolism","7/54","5.5688482082349826E-18","6.1257330290584811E-17","0","0","2970.5319148936169","118017.2826053364","ARG2;CPS1;ARG1;ASL;ASS1;OTC;AGMAT","Urea-Cycle","bioplanet"
"3","Urea cycle and metabolism of amino groups","6/20","1.2195074783804719E-17","8.9430548414567942E-17","0","0","4281","166725.68340192657","ARG2;CPS1;ARG1;ASL;ASS1;OTC","Urea-Cycle","bioplanet"
"4","Amino acid metabolism","7/195","5.9634760443834913E-14","3.2799118244109204E-13","0","0","737.38297872340422","22453.708238619871","ARG2;CPS1;ARG1;ASL;ASS1;OTC;AGMAT","Urea-Cycle","bioplanet"
"5","Alanine, aspartate and glutamate metabolism","4/32","3.7591924050842833E-10","1.6540446582370848E-9","0","0","713","15473.274155202571","CPS1;CAD;ASL;ASS1","Urea-Cycle","bioplanet"
"6","Metabolism","8/1615","1.7787832462925605E-9","6.5222052364060548E-9","0","0","147080","2963270.2194565972","ARG2;CPS1;ARG1;CAD;ASL;ASS1;OTC;AGMAT","Urea-Cycle","bioplanet"
"7","Alanine and aspartate metabolism","2/12","9.2214027460096553E-6","2.8981551487458916E-5","0","0","666.06666666666672","7722.3658701781433","ASL;ASS1","Urea-Cycle","bioplanet"
"8","Amoebiasis","2/105","7.4882016164342909E-4","2.0592554445194298E-3","0","0","64.36569579288026","463.24066620795458","ARG2;ARG1","Urea-Cycle","bioplanet"
"9","Pyrimidine biosynthesis","1/6","2.3978589692277472E-3","5.8614330358900488E-3","0","0","571.05714285714282","3445.2899826083253","CAD","Urea-Cycle","bioplanet"
"10","Polyamine metabolism","1/14","5.5872022837974E-3","1.2291845024354282E-2","0","0","219.54945054945054","1138.8637280375192","AGMAT","Urea-Cycle","bioplanet"
"11","Nitrogen metabolism","1/23","9.1645547457302242E-3","1.8329109491460448E-2","0","0","129.67532467532467","608.49004713317277","CPS1","Urea-Cycle","bioplanet"
"12","ATF2 transcription factor network","1/59","2.3361644422266112E-2","4.28296814408212E-2","0","0","49.098522167487687","184.44644096582132","ARG1","Urea-Cycle","bioplanet"
"13","Nucleotide metabolism","1/70","2.7663993715122369E-2","4.6815989364053241E-2","0","0","41.248447204968947","147.9839017165653","CAD","Urea-Cycle","bioplanet"
"14","Mitochondrial pathway of apoptosis: caspases","1/77","3.0393210313471041E-2","4.7760759064025923E-2","0","0","37.436090225563909","130.78433041717327","CAD","Urea-Cycle","bioplanet"
"15","Myc active pathway","1/85","3.3504105816256062E-2","4.9139355197175556E-2","0","0","33.857142857142854","114.98181239681574","CAD","Urea-Cycle","bioplanet"
"16","Pyrimidine metabolism","1/100","3.931350415205654E-2","5.2874421412636513E-2","0","0","28.705627705627705","92.896785007163814","CAD","Urea-Cycle","bioplanet"
"17","Interleukin-4 signaling pathway","1/104","4.0857507455219121E-2","5.2874421412636513E-2","0","0","27.585298196948681","88.208534104831983","ARG1","Urea-Cycle","bioplanet"
"18","Fas signaling pathway","1/115","4.5092326824716263E-2","5.5112843896875437E-2","0","0","24.909774436090224","77.196466677971443","CAD","Urea-Cycle","bioplanet"
"19","EGFR1 pathway","1/152","5.9216903867949332E-2","6.8566941320783434E-2","0","0","18.771050141911068","53.057278732945683","CAD","Urea-Cycle","bioplanet"
"20","Interleukin-4 regulation of apoptosis","1/267","0.10195750503475176","0.11215325553822694","0","0","10.593984962406015","24.188177671180238","ARG1","Urea-Cycle","bioplanet"
"21","TGF-beta regulation of extracellular matrix","1/565","0.20490514518483627","0.21466253305078087","0","0","4.9209726443768993","7.8007657613944312","CAD","Urea-Cycle","bioplanet"
"22","T cell receptor regulation of apoptosis","1/603","0.2172593427429915","0.2172593427429915","0","0","4.6013289036544851","7.0246809401958297","ARG2","Urea-Cycle","bioplanet"
