Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Source_Sheet,Source_DB
Glycolysis and Gluconeogenesis WP534,4/45,1.1156847337006046E-10,1.7850955739209673E-9,0,0,1946.7317073170732,44612.048629442274,G6PC;PC;PCK1;FBP1,Gluconeogenesis,wikipathways
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,3/132,2.7830287070272985E-6,2.2264229656218388E-5,0,0,231,2954.9452456376971,G6PC;PCK1;FBP1,Gluconeogenesis,wikipathways
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc) WP2453,2/16,5.9914892032562716E-6,3.1954609084033446E-5,0,0,951.47619047619048,11441.663476001768,PC;PCK1,Gluconeogenesis,wikipathways
Amino Acid metabolism WP3925,2/91,2.0293664218794575E-4,8.1174656875178299E-4,0,0,149.10861423220973,1267.8133987163728,PC;PCK1,Gluconeogenesis,wikipathways
Biotin Metabolism (including IEMs) WP5031,1/9,2.24816055240216E-3,6.4921017501795662E-3,0,0,624.59375,3808.5496634307242,PC,Gluconeogenesis,wikipathways
PI3K-Akt signaling pathway WP4172,2/340,2.7854127237562309E-3,6.4921017501795662E-3,0,0,38.77120315581854,228.10491560915835,G6PC;PCK1,Gluconeogenesis,wikipathways
Alanine and aspartate metabolism WP106,1/12,2.9966530298936489E-3,6.4921017501795662E-3,0,0,454.18181818181819,2638.9141192765878,PC,Gluconeogenesis,wikipathways
Estrogen Receptor Pathway WP2881,1/13,3.2460508750897831E-3,6.4921017501795662E-3,0,0,416.3125,2385.6022367218384,PCK1,Gluconeogenesis,wikipathways
Fatty Acid Biosynthesis WP357,1/22,5.4883894433205137E-3,9.757136788125358E-3,0,0,237.78571428571428,1237.7032790036255,PC,Gluconeogenesis,wikipathways
PPAR signaling pathway WP3942,1/67,1.6639666196472655E-2,2.6623465914356249E-2,0,0,75.48863636363636,309.19888069233861,PCK1,Gluconeogenesis,wikipathways
Thyroid hormones production and their peripheral downstream signaling effects WP4746,1/95,2.352761014601E-2,3.4221978394196363E-2,0,0,52.928191489361701,198.45852252396736,PFKFB2,Gluconeogenesis,wikipathways
DNA damage response (only ATM dependent) WP710,1/110,2.7201672447497008E-2,3.6268896596662673E-2,0,0,45.610091743119263,164.4005184703249,G6PC,Gluconeogenesis,wikipathways
Adipogenesis WP236,1/130,3.2083212007385425E-2,3.9487030162935907E-2,0,0,38.5,132.41776147898338,PCK1,Gluconeogenesis,wikipathways
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,1/158,3.8884427657500428E-2,4.4439345894286199E-2,0,0,31.589171974522294,102.57514070844167,G6PC,Gluconeogenesis,wikipathways
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,1/303,7.3496134453805137E-2,7.7253425371848594E-2,0,0,16.302152317880793,42.557134879952422,PFKFB2,Gluconeogenesis,wikipathways
Nuclear Receptors Meta-Pathway WP2882,1/319,7.7253425371848594E-2,7.7253425371848594E-2,0,0,15.46933962264151,39.611781428237286,PCK1,Gluconeogenesis,wikipathways
Glycolysis and Gluconeogenesis WP534,14/45,6.020130343884059E-36,1.2642273722156525E-34,0,0,3003.5268817204301,243579.88620374174,TPI1;PKLR;ENO1;ENO2;HK2;HK1;PFKL;PKM;PGK1;PGK2;ALDOB;ALDOA;PFKM;GAPDH,Gluconeogenesis,wikipathways
Pathways in clear cell renal cell carcinoma WP4018,15/85,9.719417401140831E-35,1.0205388271197872E-33,0,0,2133.5357142857142,167090.73523406373,TPI1;PKLR;ENO1;ENO2;HK2;HK1;PFKL;PKM;PGK1;PGK2;ALDOB;ALDOA;PFKM;GAPDH;PGM1,Gluconeogenesis,wikipathways
Computational Model of Aerobic Glycolysis WP4629,8/12,1.8924156290373332E-23,1.3246909403261334E-22,0,0,4439.7777777777774,232296.29036494112,PKM;TPI1;PGK1;ENO1;ALDOA;PFKM;GAPDH;HK1,Gluconeogenesis,wikipathways
Cori Cycle WP1946,6/17,1.7145322757072292E-15,9.0012944474629539E-15,0,0,990.34710743801656,33671.441242826244,TPI1;PGK1;PGK2;ALDOA;GAPDH;HK1,Gluconeogenesis,wikipathways
Glycolysis in senescence WP5049,5/11,1.068937434660467E-13,4.4895372255739619E-13,0,0,1387.2916666666667,41434.158504582083,PKM;PGK1;ENO1;GAPDH;HK1,Gluconeogenesis,wikipathways
Metabolic reprogramming in colon cancer WP4290,6/42,7.1833669877793269E-13,2.5141784457227646E-12,0,0,302.22727272727275,8450.8300379663306,PFKL;PKM;PGK1;ENO1;ALDOB;GAPDH,Gluconeogenesis,wikipathways
Photodynamic therapy-induced HIF-1 survival signaling WP3614,4/37,2.3180132928269954E-8,6.9540398784809868E-8,0,0,186.01398601398603,3270.120342895983,PFKL;PKM;PGK1;HK1,Gluconeogenesis,wikipathways
Glycogen Synthesis and Degradation WP500,3/40,4.9422046760553853E-6,1.2973287274645386E-5,0,0,115.51737451737452,1411.3565152386329,HK2;PGM1;HK1,Gluconeogenesis,wikipathways
HIF1A and PPARG regulation of glycolysis WP2456,2/8,1.8982825688105916E-5,4.4293259938913809E-5,0,0,443.93333333333334,4826.4325006402914,TPI1;GAPDH,Gluconeogenesis,wikipathways
Glucuronidation WP698,2/26,2.1836712816906202E-4,4.5857096915503026E-4,0,0,110.88333333333334,934.67252279457887,PGM1;HK1,Gluconeogenesis,wikipathways
7q11.23 copy number variation syndrome WP4932,2/104,3.4612740273215416E-3,6.607886779432034E-3,0,0,25.988235294117647,147.2524218660231,PKLR;GAPDH,Gluconeogenesis,wikipathways
VEGFA-VEGFR2 Signaling Pathway WP3888,3/432,5.43215897388324E-3,9.5062782042956706E-3,0,0,9.7672327672327679,50.940207669159264,PGK1;ALDOA;GAPDH,Gluconeogenesis,wikipathways
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,2/158,7.8024856073765532E-3,1.1990905572624968E-2,0,0,16.946153846153845,82.244987548836988,ALDOA;GAPDH,Gluconeogenesis,wikipathways
Insulin Signaling WP481,2/160,7.9939370484166453E-3,1.1990905572624968E-2,0,0,16.729957805907173,80.790169021253391,PFKL;PFKM,Gluconeogenesis,wikipathways
Fatty acid beta-oxidation WP143,1/34,2.8521354338754766E-2,3.992989607425667E-2,0,0,37.784090909090907,134.40187279306201,TPI1,Gluconeogenesis,wikipathways
16p11.2 proximal deletion syndrome WP4949,1/74,6.1095625316414638E-2,8.0188008227794219E-2,0,0,17.046232876712327,47.649590694413071,ALDOA,Gluconeogenesis,wikipathways
Alzheimer's disease WP2059,1/83,6.8281787330545546E-2,8.4348090231850387E-2,0,0,15.168445121951219,40.713808681356575,GAPDH,Gluconeogenesis,wikipathways
Amino Acid metabolism WP3925,1/91,7.4625999348843328E-2,8.7063665906983889E-2,0,0,13.814583333333333,35.852522791117856,PKM,Gluconeogenesis,wikipathways
Ectoderm Differentiation WP2858,1/138,0.11108481371066996,0.12277795199600365,0,0,9.0538321167883211,19.895445529940535,PGM1,Gluconeogenesis,wikipathways
Nonalcoholic fatty liver disease WP4396,1/155,0.12393582001851285,0.13013261101943849,0,0,8.0474837662337659,16.803077119770684,PKLR,Gluconeogenesis,wikipathways
IL-18 signaling pathway WP4754,1/272,0.20775122366844603,0.20775122366844603,0,0,4.5461254612546123,7.1438449917377955,ENO1,Gluconeogenesis,wikipathways
Photodynamic therapy-induced HIF-1 survival signaling WP3614,4/37,1.2401553647179135E-9,2.5139762535348211E-8,0,0,483.83030303030301,9922.4059683837877,LDHA;SLC16A1;SLC2A1;SLC2A3,Gluconeogenesis,wikipathways
Metabolic reprogramming in colon cancer WP4290,4/42,2.0996752377108788E-9,2.5139762535348211E-8,0,0,420.06315789473683,8393.4849126215595,LDHA;SLC2A1;SLC16A3;GLS,Gluconeogenesis,wikipathways
Glycolysis and Gluconeogenesis WP534,4/45,2.7933069483720234E-9,2.5139762535348211E-8,0,0,389.26829268292681,7667.0437298393008,LDHB;LDHA;SLC2A1;SLC2A3,Gluconeogenesis,wikipathways
Ketogenesis and Ketolysis WP4742,2/8,5.0328413188770481E-6,2.717734312193606E-5,0,0,951.66666666666663,11609.882108963659,SLC16A1;SLC2A1,Gluconeogenesis,wikipathways
HIF1A and PPARG regulation of glycolysis WP2456,2/8,5.0328413188770481E-6,2.717734312193606E-5,0,0,951.66666666666663,11609.882108963659,LDHA;SLC2A1,Gluconeogenesis,wikipathways
Pathways in clear cell renal cell carcinoma WP4018,3/85,6.109106988779887E-6,2.7490981449509492E-5,0,0,121.39634146341463,1457.4516926667498,LDHB;LDHA;SLC2A1,Gluconeogenesis,wikipathways
Amino Acid metabolism WP3925,3/91,7.503927853888881E-6,2.8943721722142828E-5,0,0,113.08522727272727,1334.4151765285446,LDHA;GLUL;GLS,Gluconeogenesis,wikipathways
Computational Model of Aerobic Glycolysis WP4629,2/12,1.1852169299324696E-5,4.0001071385220847E-5,0,0,570.88571428571424,6475.556453852173,LDHA;SLC2A1,Gluconeogenesis,wikipathways
Cori Cycle WP1946,2/17,2.4394349832130377E-5,7.3183049496391137E-5,0,0,380.49523809523811,4041.3004289208102,LDHA;SLC2A1,Gluconeogenesis,wikipathways
Hereditary leiomyomatosis and renal cell carcinoma pathway WP4206,2/20,3.4056598001324132E-5,9.1952814603575163E-5,0,0,317.03174603174602,3261.459893047559,LDHA;SLC2A1,Gluconeogenesis,wikipathways
PI3K/AKT/mTOR - VitD3 signaling WP4141,2/22,4.1386405906523752E-5,1.0158481449783103E-4,0,0,285.3,2879.4068233054322,LDHA;SLC2A3,Gluconeogenesis,wikipathways
NRF2 pathway WP2884,2/146,1.8423520433626748E-3,4.1452920975660178E-3,0,0,39.378968253968253,247.9580313732076,SLC2A1;SLC2A3,Gluconeogenesis,wikipathways
Glycolysis in senescence WP5049,1/11,4.9400429229450454E-3,1.0260089147655095E-2,0,0,249.76249999999999,1326.3340991921912,LDHA,Gluconeogenesis,wikipathways
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,2/303,7.6765042962079833E-3,1.4804686856972539E-2,0,0,18.690080683436165,91.013048782678965,SLC2A1;SLC2A3,Gluconeogenesis,wikipathways
Nuclear Receptors Meta-Pathway WP2882,2/319,8.4782519857504752E-3,1.5260853574350856E-2,0,0,17.732311852185671,84.587578064722337,SLC2A1;SLC2A3,Gluconeogenesis,wikipathways
Urea cycle and associated pathways WP4595,1/24,1.0750337464808102E-2,1.7074065385283454E-2,0,0,108.52173913043478,491.90930693624915,LDHB,Gluconeogenesis,wikipathways
"NAD Metabolism in Oncogene-Induced Senescence and Mitochondrial Dysfunction-Associated Senescence WP5046",1/24,1.0750337464808102E-2,1.7074065385283454E-2,0,0,108.52173913043478,491.90930693624915,SLC2A1,Gluconeogenesis,wikipathways
Type 2 papillary renal cell carcinoma WP4241,1/34,1.519926045554118E-2,2.279889068331177E-2,0,0,75.598484848484844,316.49369990079617,SLC2A1,Gluconeogenesis,wikipathways
Synaptic Vesicle Pathway WP2267,1/51,2.2721633844606352E-2,3.2288637568651128E-2,0,0,49.852499999999999,188.6636842051162,SLC1A3,Gluconeogenesis,wikipathways
Proximal tubule transport WP4917,1/57,2.5364370254955197E-2,3.4241899844189516E-2,0,0,44.497767857142854,163.5030358762894,SLC2A1,Gluconeogenesis,wikipathways
p53 transcriptional gene network WP4963,1/67,2.9754818181739934E-2,3.8256194805094207E-2,0,0,37.736742424242422,132.63575146396252,SLC2A1,Gluconeogenesis,wikipathways
TNF-alpha signaling pathway WP231,1/92,4.0654126315732002E-2,4.9893700478398369E-2,0,0,27.335164835164836,87.545100688435838,GLUL,Gluconeogenesis,wikipathways
Fragile X Syndrome  WP4549,1/121,5.3160876149181691E-2,6.2406245914256774E-2,0,0,20.698958333333334,60.739697372377059,SLC16A1,Gluconeogenesis,wikipathways
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,1/132,5.7866768719600295E-2,6.510011480955033E-2,0,0,18.950381679389313,54.00123507299854,SLC2A1,Gluconeogenesis,wikipathways
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,1/158,6.8907244430395656E-2,7.2434487543992676E-2,0,0,15.79140127388535,42.241903064880837,SLC1A3,Gluconeogenesis,wikipathways
Insulin Signaling WP481,1/160,6.9751728746067013E-2,7.2434487543992676E-2,0,0,15.591194968553459,41.516437796837891,SLC2A1,Gluconeogenesis,wikipathways
VEGFA-VEGFR2 Signaling Pathway WP3888,1/432,0.17845578098325815,0.17845578098325815,0,0,5.6728538283062644,9.77667816987646,LDHA,Gluconeogenesis,wikipathways
"GPCRs, Class C Metabotropic glutamate, pheromone WP501",8/15,1.5751784375170337E-20,4.8830531563028042E-19,0,0,1267.7460317460318,57805.838349731246,GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1,Gluconeogenesis,wikipathways
Common Pathways Underlying Drug Addiction WP2636,8/42,2.8284227556556856E-16,4.3840552712663124E-15,0,0,260.65359477124184,9331.8267542450867,GRIA1;GRIA2;GRM5;GRIN2A;GRIA3;GRM1;GRIN1;GRIA4,Gluconeogenesis,wikipathways
