Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Source_Sheet,Source_DB
AMPK signaling pathway,3/120,2.0879996040351942E-6,3.1319994060527912E-5,0,0,254.84615384615384,3333.210339156145,PFKFB2;PCK1;FBP1,Gluconeogenesis,kegg
Citrate cycle (TCA cycle),2/30,2.1689044409521838E-5,1.3159080201269373E-4,0,0,475.40476190476193,5105.2306811411236,PC;PCK1,Gluconeogenesis,kegg
Fructose and mannose metabolism,2/33,2.6318160402538746E-5,1.3159080201269373E-4,0,0,429.33333333333331,4527.4279118472859,PFKFB2;FBP1,Gluconeogenesis,kegg
Pyruvate metabolism,2/47,5.3807352784853449E-5,2.0177757294320044E-4,0,0,295.55555555555554,2905.340794131333,PC;PCK1,Gluconeogenesis,kegg
Glycolysis / Gluconeogenesis,2/67,1.098341891953128E-4,3.2950256758593839E-4,0,0,204.41025641025641,1863.5140133125917,PCK1;FBP1,Gluconeogenesis,kegg
Glucagon signaling pathway,2/107,2.8058901406937699E-4,7.0147253517344253E-4,0,0,126.28571428571429,1032.8428108124656,PCK1;FBP1,Gluconeogenesis,kegg
Insulin signaling pathway,2/137,4.5955248238770628E-4,9.8475531940222768E-4,0,0,98.074074074074076,753.72450415314711,PCK1;FBP1,Gluconeogenesis,kegg
Proximal tubule bicarbonate reclamation,1/23,5.7372891133286473E-3,1.0757417087491214E-2,0,0,226.96590909090909,1171.3185051583378,PCK1,Gluconeogenesis,kegg
Pentose phosphate pathway,1/30,7.478192828541258E-3,1.2463654714235431E-2,0,0,172.12068965517241,842.66229614654151,FBP1,Gluconeogenesis,kegg
Adipocytokine signaling pathway,1/69,1.7132947269309973E-2,2.5043569231275025E-2,0,0,73.26102941176471,297.93443263412689,PCK1,Gluconeogenesis,kegg
PPAR signaling pathway,1/74,1.8365284102935021E-2,2.5043569231275025E-2,0,0,68.226027397260268,272.71943060410257,PCK1,Gluconeogenesis,kegg
Insulin resistance,1/108,2.6712437413131718E-2,3.3390546766414647E-2,0,0,46.467289719626166,168.33361194919559,PCK1,Gluconeogenesis,kegg
Thyroid hormone signaling pathway,1/121,2.9888950061789109E-2,3.4487250071295127E-2,0,0,41.40625,145.34696936891217,PFKFB2,Gluconeogenesis,kegg
FoxO signaling pathway,1/131,3.2326773605739184E-2,3.463582886329198E-2,0,0,38.20192307692308,131.10363216765762,PCK1,Gluconeogenesis,kegg
PI3K-Akt signaling pathway,1/354,8.5430009182989972E-2,8.5430009182989972E-2,0,0,13.910764872521247,34.22128624523743,PCK1,Gluconeogenesis,kegg
Glycolysis / Gluconeogenesis,16/67,6.0974258042615034E-40,1.768253483235836E-38,0,0,6253.1764705882351,564633.92759858875,TPI1;PKLR;ENO1;ENO2;HK2;HK1;PFKL;PKM;PGK1;PGAM4;PGK2;ALDOB;ALDOA;PFKM;GAPDH;PGM1,Gluconeogenesis,kegg
HIF-1 signaling pathway,11/109,9.0235462835487886E-22,1.3084142111145743E-20,0,0,371.99829931972789,18025.934472898207,PFKL;PGK1;ENO1;PGK2;ALDOB;ENO2;ALDOA;PFKM;GAPDH;HK2;HK1,Gluconeogenesis,kegg
Fructose and mannose metabolism,7/33,3.2357788378992367E-16,3.1279195433025952E-15,0,0,537.30384615384617,19164.065624243834,PFKL;TPI1;ALDOB;ALDOA;PFKM;HK2;HK1,Gluconeogenesis,kegg
Central carbon metabolism in cancer,6/70,1.7719954814112562E-11,1.2846967240231608E-10,0,0,169.76420454545453,4202.7386225078653,PFKL;PKM;PGAM4;PFKM;HK2;HK1,Gluconeogenesis,kegg
Pentose phosphate pathway,5/30,3.2664627416124712E-11,1.8814692880331741E-10,0,0,332.63333333333333,8031.3414747894849,PFKL;ALDOB;ALDOA;PFKM;PGM1,Gluconeogenesis,kegg
Galactose metabolism,5/31,3.8926950786893258E-11,1.8814692880331741E-10,0,0,319.82371794871796,7665.9616071157961,PFKL;PFKM;HK2;PGM1;HK1,Gluconeogenesis,kegg
Starch and sucrose metabolism,4/36,2.0684898383664146E-8,8.5694579018037178E-8,0,0,191.83653846153845,3394.3292284288705,HK2;PGM2L1;PGM1;HK1,Gluconeogenesis,kegg
Type II diabetes mellitus,4/46,5.7006926543655708E-8,2.0665010872075194E-7,0,0,146.08791208791209,2436.7599683023027,PKM;PKLR;HK2;HK1,Gluconeogenesis,kegg
RNA degradation,4/79,5.1595489775595E-7,1.6625213372136168E-6,0,0,81.673846153846156,1182.4124019621934,PFKL;ENO1;ENO2;PFKM,Gluconeogenesis,kegg
Glucagon signaling pathway,4/107,1.7464960007622619E-6,5.0648384022105592E-6,0,0,59.387602688573566,787.35484201255906,PFKL;PKM;PGAM4;PFKM,Gluconeogenesis,kegg
"Neomycin, kanamycin and gentamicin biosynthesis",2/5,6.7896847477175261E-6,1.7900077971255295E-5,0,0,888,10567.294169184646,HK2;HK1,Gluconeogenesis,kegg
Amino sugar and nucleotide sugar metabolism,3/48,8.6156298508488988E-6,2.0821105472884837E-5,0,0,94.942857142857136,1107.217198924578,HK2;PGM1;HK1,Gluconeogenesis,kegg
