Term,ID,Source_Sheet,Source_DB,Gene
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PRKAG2
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,INS
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,INSR
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,AKT3
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PIK3CA
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PDPK1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,IRS1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,IGF1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,IGF1R
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,FOXO1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,SLC2A4
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,STK11
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,SIRT1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PPARGC1A
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ADIPOR1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CAMKK2
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ACACA
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CPT1C
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PFKFB1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PFKL
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,FBP1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,TSC2
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,MTOR
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ADIPOQ
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,GYS1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,HNF4A
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PCK1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,G6PC1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,SREBF1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,FASN
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,SCD
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,EEF2K
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,EEF2
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,RPS6KB1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,EIF4EBP1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PPARG
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ACACB
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CRTC2
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,TBC1D1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,STRADB
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CAB39
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,PPP2R3B
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ELAVL1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CCND1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CCNA2
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,LIPE
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,HMGCR
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ADRA1A
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,LEPR
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,LEP
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CD36
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CFTR
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,RAB10...
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,RHEB
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,TSC1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,MLYCD
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,MAP3K7
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CREB3
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,ULK1
AMPK signaling pathway,path:hsa04152,Gluconeogenesis,kegg,CIDEA
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,DLD
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,OGDH
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,DLST
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,SUCLG2
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,IDH1
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,IDH3A
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,ACLY
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,FH
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,ACO1
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,CS
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,MDH1
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,PC
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,PDHA1
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,DLAT
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,PCK1
Citrate cycle (TCA cycle),path:hsa00020,Gluconeogenesis,kegg,SDHA
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,AKR1B1
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,SORD
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,KHK
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,HK1
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,PFKFB1
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,MPI
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,PMM1
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,FPGT
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,GFUS
Fructose and mannose metabolism,path:hsa00051,Gluconeogenesis,kegg,GMDS
