HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
AADAT,0.29,0.02271,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AANAT,0.05,0.89801,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABAT,-0.07,0.64129,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCA1,0.23,0.27506,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCB1,-0.36,0.06555,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCB11,0.83,0.05767,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCB4,0.34,0.16917,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCC2,0.47,0.20204,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCC3,-0.15,0.60972,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCC4,0.38,0.11220,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCD1,-0.11,0.56595,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCD3,-0.01,0.90781,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCG1,-0.05,0.67400,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCG2,-0.19,0.34348,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCG5,-0.01,0.98270,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABCG8,-0.10,0.72263,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ABL1,-0.07,0.63054,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACAA1,-0.03,0.77476,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACAA2,0.01,0.95640,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACACB,-0.02,0.93618,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACADL,0.23,0.31067,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACADM,-0.05,0.59426,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACADS,-0.31,0.11202,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACADVL,-0.03,0.78642,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACAT1,-0.10,0.34135,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACLY,-0.06,0.66406,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACMSD,0.10,0.67814,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACO1,0.13,0.29722,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACOT2,0.04,0.78109,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACOX1,-0.10,0.41577,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
