HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
AADAT,0.17,0.06744,hiPSC_Neuron,SCZ,Human
ABAT,0.10,0.53772,hiPSC_Neuron,SCZ,Human
ABCA1,0.02,0.87153,hiPSC_Neuron,SCZ,Human
ABCB1,0.66,0.23889,hiPSC_Neuron,SCZ,Human
ABCB11,0.15,0.69555,hiPSC_Neuron,SCZ,Human
ABCB4,0.36,0.31924,hiPSC_Neuron,SCZ,Human
ABCC2,-0.17,0.46600,hiPSC_Neuron,SCZ,Human
ABCC3,0.15,0.75195,hiPSC_Neuron,SCZ,Human
ABCC4,0.00,0.98929,hiPSC_Neuron,SCZ,Human
ABCD1,0.04,0.74125,hiPSC_Neuron,SCZ,Human
ABCD3,0.02,0.89232,hiPSC_Neuron,SCZ,Human
ABCG1,-0.05,0.84696,hiPSC_Neuron,SCZ,Human
ABL1,-0.10,0.12254,hiPSC_Neuron,SCZ,Human
ACAA1,-0.05,0.50407,hiPSC_Neuron,SCZ,Human
ACAA2,-0.06,0.52479,hiPSC_Neuron,SCZ,Human
ACACA,0.16,0.10468,hiPSC_Neuron,SCZ,Human
ACACB,0.06,0.63674,hiPSC_Neuron,SCZ,Human
ACADM,-0.01,0.91486,hiPSC_Neuron,SCZ,Human
ACADS,-0.07,0.63703,hiPSC_Neuron,SCZ,Human
ACADVL,-0.13,0.17121,hiPSC_Neuron,SCZ,Human
ACAT1,0.02,0.85621,hiPSC_Neuron,SCZ,Human
ACLY,0.12,0.25278,hiPSC_Neuron,SCZ,Human
ACMSD,0.10,0.54722,hiPSC_Neuron,SCZ,Human
ACO1,0.01,0.88698,hiPSC_Neuron,SCZ,Human
ACOX1,0.00,0.98012,hiPSC_Neuron,SCZ,Human
ACSL1,-0.23,0.30638,hiPSC_Neuron,SCZ,Human
ACSS2,0.02,0.87169,hiPSC_Neuron,SCZ,Human
ACTB,0.02,0.89191,hiPSC_Neuron,SCZ,Human
ACTC1,-0.55,0.40858,hiPSC_Neuron,SCZ,Human
ACTN4,-0.07,0.46142,hiPSC_Neuron,SCZ,Human
ADA,0.30,0.05570,hiPSC_Neuron,SCZ,Human
ADAM10,0.02,0.70378,hiPSC_Neuron,SCZ,Human
ADCY1,0.01,0.97030,hiPSC_Neuron,SCZ,Human
ADCY10,0.04,0.84013,hiPSC_Neuron,SCZ,Human
ADCY2,-0.23,0.50998,hiPSC_Neuron,SCZ,Human
ADCY5,-0.09,0.68587,hiPSC_Neuron,SCZ,Human
ADCY6,0.01,0.90796,hiPSC_Neuron,SCZ,Human
ADCYAP1,-1.09,0.04247,hiPSC_Neuron,SCZ,Human
ADCYAP1R1,0.11,0.79770,hiPSC_Neuron,SCZ,Human
