HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
AADAT,-0.10,0.11176,AMP_AD_MAYO_CBE_ALL,AD,Human
ABAT,0.01,0.79953,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCA1,0.04,0.65452,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCB1,0.28,0.02748,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCC2,0.26,0.04115,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCC4,0.45,0.00007,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCD1,0.09,0.08553,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCD3,-0.11,0.02861,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCG1,0.27,0.00304,AMP_AD_MAYO_CBE_ALL,AD,Human
ABCG2,0.14,0.33704,AMP_AD_MAYO_CBE_ALL,AD,Human
ABL1,-0.23,0.00005,AMP_AD_MAYO_CBE_ALL,AD,Human
ACAA1,0.05,0.21651,AMP_AD_MAYO_CBE_ALL,AD,Human
ACAA2,-0.14,0.09800,AMP_AD_MAYO_CBE_ALL,AD,Human
ACACA,0.10,0.01010,AMP_AD_MAYO_CBE_ALL,AD,Human
ACACB,-0.17,0.05735,AMP_AD_MAYO_CBE_ALL,AD,Human
ACADL,-0.41,0.00188,AMP_AD_MAYO_CBE_ALL,AD,Human
ACADM,-0.04,0.44255,AMP_AD_MAYO_CBE_ALL,AD,Human
ACADS,-0.09,0.15014,AMP_AD_MAYO_CBE_ALL,AD,Human
ACADVL,-0.03,0.58450,AMP_AD_MAYO_CBE_ALL,AD,Human
ACAT1,-0.08,0.05694,AMP_AD_MAYO_CBE_ALL,AD,Human
ACLY,0.22,0.00013,AMP_AD_MAYO_CBE_ALL,AD,Human
ACMSD,0.25,0.01767,AMP_AD_MAYO_CBE_ALL,AD,Human
ACO1,-0.14,0.00725,AMP_AD_MAYO_CBE_ALL,AD,Human
ACOT2,0.06,0.30446,AMP_AD_MAYO_CBE_ALL,AD,Human
ACOX1,-0.07,0.08107,AMP_AD_MAYO_CBE_ALL,AD,Human
ACSL1,0.03,0.73071,AMP_AD_MAYO_CBE_ALL,AD,Human
ACSS2,-0.16,0.00382,AMP_AD_MAYO_CBE_ALL,AD,Human
ACTB,-0.05,0.29942,AMP_AD_MAYO_CBE_ALL,AD,Human
