Gene,WikiPathway,BioPlanet,KEGG,Datasets,Total
ALDOA,1,1,1,WBK,3
ALDOB,1,1,0,WB,2
ALDOC,1,1,0,WB,2
DLAT,1,1,1,WBK,3
DLD,1,1,1,WBK,3
ENO1,1,1,1,WBK,3
ENO2,1,1,0,WB,2
ENO3,1,1,0,WB,2
FBP1,1,1,1,WBK,3
FBP2,1,1,0,WB,2
G6PC1,1,1,1,WBK,3
GAPDH,1,1,1,WBK,3
GCK,1,1,1,WBK,3
GOT1,1,1,0,WB,2
GOT2,1,1,1,WBK,3
GPI,1,1,1,WBK,3
HK1,1,1,1,WBK,3
HK2,1,1,0,WB,2
HK3,1,1,0,WB,2
LDHA,1,1,0,WB,2
LDHAL6B,1,1,0,WB,2
LDHB,1,1,0,WB,2
LDHC,1,1,0,WB,2
MDH1,1,1,1,WBK,3
MDH2,1,1,0,WB,2
MPC1,1,0,0,W,1
MPC2,1,0,1,WK,2
PC,1,1,1,WBK,3
PCK1,1,1,1,WBK,3
PDHA1,1,1,1,WBK,3
PFKL,1,1,1,WBK,3
PFKM,1,1,0,WB,2
PFKP,1,1,0,WB,2
PGAM1,1,1,0,WB,2
PGAM2,1,1,0,WB,2
PGK1,1,1,1,WBK,3
PGK2,1,1,0,WB,2
PKLR,1,1,1,WBK,3
PKM,1,1,1,WBK,3
SLC2A1,1,1,1,WBK,3
SLC2A2,1,1,1,WBK,3
SLC2A3,1,1,0,WB,2
SLC2A4,1,1,1,WBK,3
SLC2A5,1,1,1,WBK,3
TPI1,1,1,1,WBK,3
ABCG5,1,1,1,WBK,3
ABCG8,1,1,1,WBK,3
AKT1,1,1,0,WB,2
AKT2,1,1,0,WB,2
ANGPTL8,1,0,0,W,1
CAP1,1,1,0,WB,2
CBL,1,1,1,WBK,3
CBLB,1,1,1,WBK,3
CBLC,1,1,0,WB,2
CRK,1,1,1,WBK,3
CYP2B6,1,1,1,WBK,3
CYP3A4,1,1,1,WBK,3
CYP7A1,1,1,1,WBK,3
DIO2,1,1,1,WBK,3
EIF4E,1,1,1,WBK,3
EIF4EBP1,1,1,1,WBK,3
EXOC7,1,1,1,WBK,3
FASN,1,1,1,WBK,3
FLOT1,1,1,0,WB,2
FLOT2,1,1,0,WB,2
FOXO1,1,1,1,WBK,3
FOXO3,1,1,1,WBK,3
GSK3A,1,1,0,WB,2
GSK3B,1,1,1,WBK,3
