pathway,pval,padj,log2err,ES,NES,size,LEGenes
HALLMARK_ADIPOGENESIS,0.015183490627092795,0.026011274278377763,0.019534518987897067,0.4894898117955874,1.3804648243952646,191,"DLD, DBT, GPX3, LPL, NDUFA5, CMBL, TANK, ABCA1, PHYH, ALDOA, SLC19A1, ALDH2, G3BP2, AGPAT3, ITSN1, GHITM, NDUFAB1, CCNG2, RNF11, APOE, COQ3, CIDEA, COX7B, DECR1, GPD2, ECHS1, PDCD4, PGM1, CAT, MRPL15, IDH3A, ME1, DLAT, UBC, PLIN2, PEX14, BCL2L13, DNAJB9, GPHN, NDUFB7, SDHC, POR, MYLK, NKIRAS1, APLP2, UBQLN1, SPARCL1, IDH1, GPAT4, CHUK, DRAM2, GPX4, ATL2, IDH3G, LIPE, RIOK3, TKT, HIBCH, SSPN, SCP2, SDHB, MTCH2, HADH, SOD1, MDH2"
HALLMARK_ALLOGRAFT_REJECTION,0.015276462671428211,0.026011274278377763,0.01945991204343475,0.48839208715867355,1.3787475444750514,193,"EIF5A, JAK2, BCAT1, INHBA, EGFR, PRKCB, TAPBP, HLA-A, CD47, EIF4G3, RPS19, ABI1, HLA-G, CD247, BCL10, HLA-DOB, CD8A, NPM1, STAT4, HDAC9, THY1, MTIF2, DEGS1, CCND2, FAS, ACHE, GLMN, C2, MRPL3, TPD52, ITK, IL12RB1, PSMB10, RPL9, GALNT1, GCNT1, MAP3K7, IL16"
HALLMARK_ANDROGEN_RESPONSE,1.2985132051816627e-5,9.089592436271639e-5,0.5933254763964051,0.7080225569565534,1.8470846229786348,95,"AKAP12, ELK4, ABHD2, SLC26A2, VAPA, ACSL3, PIAS1, NGLY1, ACTN1, GSR, RRP12, PMEPA1, CAMKK2, ITGAV, SMS, XRCC5, ABCC4, PDLIM5, IDI1, UAP1, TSC22D1, XRCC6, RPS6KA3, BMPR1B, DNAJB9, MAF, ANKH, AZGP1, APPBP2, TPD52"
HALLMARK_ANGIOGENESIS,0.7413625077912194,0.7916243727262173,0.0023463288199402524,0.3656078200475604,0.8224645572186335,35,"LPL, ITGAV, FGFR1, CCND2, LRPAP1, COL5A2"
HALLMARK_APICAL_JUNCTION,0.02280618820099835,0.035919746416572404,0.015895084885667442,0.47835890139408466,1.3490733022379315,191,"NEGR1, SLIT2, SDC3, WASL, SKAP2, EGFR, AKT3, IRS1, ACTN2, ACTN1, ADAM23, LAMC2, TRO, CADM2, GTF2F1, CNTN1, MYH10, ARPC2, NRXN2, CDK8, CADM3, YWHAH, FSCN1, NEXN, THY1, RSU1, NF2, PPP2R2C, ADAM9, MAPK11, LIMA1, ACTB, CDH8, DLG1, TAOK2, HADH, PIK3R3, KCNH2, GRB7, FBN1, PTEN, ACTA1, EXOC4, CDH4"
HALLMARK_APICAL_SURFACE,0.3574296203227453,0.4330397323140952,0.0049413658115651385,-0.42137210825347693,-1.0525987403768675,43,"ADIPOR2, SRPX, AFAP1L2, ATP6V0A4, SLC22A12"
HALLMARK_APOPTOSIS,0.001319230813544871,0.0036135452718837773,0.06741866099624878,0.5638379269327517,1.562197916245751,160,"CYLD, XIAP, PLPPR4, DNAJC3, RNASEL, GPX3, NEFH, CFLAR, SLC20A1, GSR, GCH1, CASP2, SATB1, CASP6, HMGB2, BCL10, BTG3, PDCD4, DFFA, TGFBR3, IER3, CCND2, FAS, GSN, EMP1, CASP8, CLU, CTH, DAP3, ANKH, ROCK1, SOD2, GPX4, EGR3, TSPO, DNAJA1, ENO2, SOD1, HSPB1, BIRC3, FDXR, PAK1, ATF3, ADD1, PSEN2, BCL2L1"
HALLMARK_BILE_ACID_METABOLISM,0.09626494794971356,0.12376921879248888,0.007840790320244696,0.4732348646764301,1.2558310289394092,109,"GCLM, HSD17B6, ABCA1, PHYH, PRDX5, PEX13, AR, PECR, PEX7, CYP7B1, SLC23A2, CAT, ATXN1, IDI1, ABCA5, SLC27A5, NR3C2, PEX11A, ABCD2, IDH1, ISOC1, PEX12, SLC27A2, LIPE, SCP2, SOD1, CROT, NPC1, NUDT12, FDXR, BMP6, ABCA4, OPTN, PIPOX, PFKM"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06160691722300239,0.09026129732672443,0.01019375340809445,0.53651854385712,1.3465529641481773,71,"STARD4, MAL2, LPL, PMVK, PDK3, FABP5, TMEM97, NFIL3, IDI1, ALCAM, CLU, FDPS"
HALLMARK_COAGULATION,0.8814202922007184,0.8956367485265364,0.0032460552140241997,-0.2839658463571676,-0.8493486561842245,136,"CTSO, CPN1, DUSP6, SERPINB2, RAPGEF3, F10, C9, KLKB1, MMP1, FGG, CPB2, CTSH, TFPI2, F2, ITIH1, S100A1, HPN, PLEK, MMP15, PLAU, ANXA1, C8B, CSRP1"
HALLMARK_COMPLEMENT,0.02535183627698346,0.03895526062073068,0.015033746790123922,0.47321969011479337,1.3377965964293572,196,"PCLO, JAK2, DGKH, CDK5R1, PLA2G7, KCNIP2, ACTN2, EHD1, CD59, GNB4, HSPA5, HPCAL4, RBSN, PDP1, GPD2, GRB2, USP14, DYRK2, PDGFB, SERPING1, PPP2CB, CD55, FYN, CTSB, ME1, ZEB1, ADAM9, F8, CLU, PIK3CA"
HALLMARK_DNA_REPAIR,9.891428404202394e-4,0.0028325454066579583,0.0785038340301215,0.582126810492407,1.5938480129125516,143,"GTF2H5, POLR1D, SEC61A1, CCNO, GTF2H3, POLH, CANT1, DUT, GTF2F1, REV3L, CMPK2, ARL6IP1, POLR2E, CSTF3, POLR2J, HPRT1, NFX1, POLR2D, PNP, EIF1B, VPS37D, RPA3, GUK1, POLB, SSRP1, RAE1, MPC2, SDCBP, DGUOK, AGO4, POLR3C, POLE4, USP11, POLR2K, EDF1, GTF2A2, RFC2, NCBP2, NUDT21, GPX4, SNAPC5, TK2"
HALLMARK_E2F_TARGETS,0.0017924172589803763,0.004516891492630549,0.05714769075843493,0.5378139257519725,1.5167490490702331,191,"RAD1, XPO1, HNRNPD, PDS5B, NAP1L1, GSPT1, ASF1A, UBE2S, TFRC, CBX5, DUT, ATAD2, ING3, RAN, MAD2L1, RBBP7, MSH2, RAD50, HMGB2, DCK, NBN, MCM4, EIF2S1, PRKDC, SMC3, TIPIN, RPA3, ILF3, SSRP1, XRCC6, CTPS1, GINS4, PRDX4, BRMS1L, POLE4, BRCA2, ANP32E, NAA38, RFC2, PSIP1, GINS1, TBRG4, NUDT21, CDKN3, IPO7, NOLC1, PNN, CSE1L, POP7, RACGAP1, SLBP, ORC6, USP1, SRSF1, KPNA2, ZW10, CHEK1, TMPO, PRPS1"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.7670871881132605,0.7922375877235314,0.0018558197154328348,0.309674186340374,0.8754518908283102,196,"SLIT2, CAP2, INHBA, CADM1, DST, CD59, LAMC2, PMEPA1, LRRC15, ITGAV, GLIPR1, CALU, SGCD, SCG2, COL11A1, COPA, MAGEE1, CDH2, TGFBR3, FBLN5, THY1"
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.79022040753647e-7,2.255677713495952e-6,0.6901324587967956,0.6517613642167013,1.8407494914345466,194,"JAK2, UGCG, TPBG, CA12, INPP5F, MPPED2, BCL11B, NRIP1, WFS1, SLC1A4, ABHD2, ABAT, SLC26A2, REEP1, SLC24A3, DLC1, SOX3, CANT1, RRP12, CHPT1, GFRA1, XBP1, MYBBP1A, SH3BP5, RET, KRT13, AR, FARP1, AMFR, RHOBTB3, TPD52L1, ISG20L2, MED13L, WWC1, KLF10, OPN3, TTC39A, TBC1D30, RHOD, PEX11A, AKAP1, SFN, ARL3, SNX24, RAB31, TMPRSS3, LRIG1, SLC1A1, EGR3, SLC27A2, NAV2, IGF1R, SYBU, FKBP4, THSD4, BAG1"
HALLMARK_ESTROGEN_RESPONSE_LATE,1.1485301615225588e-4,5.565953859686246e-4,0.22668271557238606,0.5781602373807413,1.6352543510141386,197,"JAK2, PRLR, DNAJC12, FGFR3, TPBG, CA12, NRIP1, HSPA4L, WFS1, SLC1A4, ABHD2, SLC26A2, PERP, SLC24A3, SOX3, CHPT1, XBP1, LAMC2, ASS1, RET, GPER1, KRT13, FARP1, FABP5, AMFR, ALDH3A2, TPD52L1, HPRT1, NAB2, BTG3, PDCD4, CPE, OPN3, TRIM29, MOCS2, ST14, DNAJC1, PCP4, SFN"
HALLMARK_FATTY_ACID_METABOLISM,0.06819005535114196,0.09560631467371,0.009183694927258668,0.46071012067050066,1.2703914188788679,153,"DLD, HSP90AA1, HSPH1, BLVRA, GAD2, GABARAPL1, CPT1A, ALDOA, KMT5A, ODC1, SMS, HCCS, ALDH3A2, CIDEA, DECR1, NBN, GPD2, ERP29, UROD, ECHS1, YWHAH, AUH, IDI1, FH, ME1, OSTC, ACSL4, ACOT8, BMPR1B, SDHC, MDH1, SDHD, IDH1, PDHB, SUCLA2, IDH3G, HIBCH, TDO2, HPGD, LDHA, GLUL, SUCLG2, HADH, ENO2, MDH2, RAP1GDS1, PCBD1, ECI2, ETFDH"
HALLMARK_G2M_CHECKPOINT,0.006210146154280232,0.013491007162746713,0.030687116040293085,0.5134773493856923,1.4450949610651915,187,"XPO1, HNRNPD, MTF2, RASAL2, PDS5B, MEIS2, GSPT1, EFNA5, MARCKS, UBE2S, ATRX, ORC5, SLC7A1, KMT5A, MAD2L1, ODC1, TOP1, SLC38A1, NUMA1, CDC27, KIF5B, ILF3, DR1, PML, CUL4A, RBM14, DMD, TNPO2, FOXN3, BRCA2, SMAD3, PURA, CDKN3, RPS6KA5, BUB3, NOLC1, RAD23B, PAFAH1B1, KIF11, CUL3, RACGAP1, UPF1, ORC6, SRSF1, TRAIP, KPNA2, G3BP1, PRMT5, CHEK1, TMPO, LIG3, SNRPD1, NOTCH2, SRSF10"
HALLMARK_GLYCOLYSIS,3.2265304977274e-4,0.0012229135378674103,0.13480955735720182,0.5647470733102524,1.5958148059512012,195,"HS6ST2, SLC35A3, PGK1, TPBG, NDST3, SDC3, DLD, MET, CHST2, EGFR, SDC2, PDK3, HS2ST1, ALDOA, ADORA2B, UGP2, HSPA5, CASP6, FAM162A, EFNA3, ARPP19, HOMER1, RPE, GNPDA1, RRAGD, TXN, TPST1, HAX1, IRS2, GALK2, PPP2CB, GLRX, HDLBP, PAM, GFPT1, IER3, ME1, ENO1, ALDOB, ABCB6, AGL, CTH, SOX9, SDHC, ARTN, ZNF292, MDH1, PC, BPNT1, POLR3K, PGLS, GOT1, IDH1, NANP, GALE, ERO1A, GLCE, FKBP4, ALDH7A1, EXT1, LDHA, CHST1, ENO2, SOD1, MDH2"
HALLMARK_HEDGEHOG_SIGNALING,0.0179100684463402,0.028931649028703398,0.01987429282852522,0.6798939721345186,1.53679889946877,36,"CDK5R1, TLE1, SCG2, RTN1, HEY1, NRCAM, THY1, PML, ACHE, NRP2"
